idx,replacements_visual,replacements_phonetic,replacements_typo
0,"[('games', '↋ames')]","[('games', 'getmes')]","[('games', 'gaes')]"
1,"[('embeddings', 'emḩedd⍸ngs')]","[('embeddings', 'embeddingsw')]","[('embeddings', 'ebnmdidges')]"
2,"[('decreasing', 'dēcr♇asƖng')]","[('decreasing', 'decreasein')]","[('decreasing', 'drneicesag')]"
3,"[('dynamic', 'ῄynamic')]","[('dynamic', 'dynamyk')]","[('dynamic', 'diaynmc')]"
4,"[('traditional', 'tradiƫional')]","[('traditional', 'treadeitionel')]","[('traditional', '%tr$adit<ional')]"
5,"[('introduce', 'īntɽoḓuce')]","[('introduce', 'intruduce')]","[('introduce', 'Indroduce')]"
6,"[('highlighted', 'hiğhlígʜťɝď')]","[('highlighted', ""highlited'"")]","[('highlighted', 'jighligntes')]"
7,"[('framework', '⥜ramework')]","[('framework', 'frretmework')]","[('framework', 'frremowak')]"
8,"[('vehicles', 'vehiclеs')]","[('vehicles', 'vyhicules')]","[('vehicles', '~vehicles')]"
9,"[('mathematical', 'mathe໗atiᥴal')]","[('mathematical', 'mathematichell')]","[('mathematical', 'maacitehatml')]"
10,"[('paper', 'pǝper')]","[('paper', 'papir')]","[('paper', 'ppaer')]"
11,"[('rigorously', 'rigoᶯously')]","[('rigorously', 'reegorously')]","[('rigorously', 'rigoro)usly')]"
12,"[('solves', 'solvʙs')]","[('solves', 'solvez')]","[('solves', 'soves')]"
13,"[('used', 'usɛd')]","[('used', 'uzed')]","[('used', '\\u#sed')]"
14,"[('measure', 'ᴟeasure')]","[('measure', 'measuree')]","[('measure', 'mesure')]"
15,"[('deep', 'Ꮚeep')]","[('deep', 'deepp')]","[('deep', 'dep')]"
16,"[('interdisciplinary', 'intԑrḋisciplinary')]","[('interdisciplinary', ""interdisictionally's"")]","[('interdisciplinary', ""{i|nte+rdis#c'iplinary"")]"
17,"[('continuous', 'coຖtiᥒuous')]","[('continuous', 'cohntynnuous')]","[('continuous', 'cuotoinnus')]"
18,"[('singularities', 's⭭nεularitⅰes')]","[('singularities', 'singularithes')]","[('singularities', 'sigtnailuiers')]"
19,"[('amount', 'amounȽ')]","[('amount', 'amaunt')]","[('amount', '&amount')]"
20,"[('whether', 'Ĳhether')]","[('whether', 'weathur')]","[('whether', 'wethher')]"
21,"[('target', 'ŧargϴt')]","[('target', 'targat')]","[('target', 'trgeat')]"
22,"[('algorithm', 'algorḷ⤈hຫ')]","[('algorithm', 'ahlgorithom')]","[('algorithm', 'algrithm')]"
23,"[('charged', 'charg€d')]","[('charged', 'chargd')]","[('charged', 'c>ha{rged')]"
24,"[('expensive', 'exɒenຣive')]","[('expensive', 'expensyv')]","[('expensive', 'expen?si\\ve')]"
25,"[('siamese', 'siaղeѕe')]","[('siamese', 'saiamese')]","[('siamese', 'simese')]"
26,"[('analysis', 'analyѯis')]","[('analysis', 'anagllysis')]","[('analysis', 'aasilnys')]"
27,"[('expression', 'eΧpressioⱨ')]","[('expression', 'exsprression')]","[('expression', 'eirxpseosn')]"
28,"[('layer', 'låyer')]","[('layer', 'layere')]","[('layer', 'layef')]"
29,"[('normalized', 'normმlized')]","[('normalized', 'normmalyzed')]","[('normalized', 'nrmalized')]"
30,"[('fang', 'ʄang')]","[('fang', 'fagng')]","[('fang', 'fnag')]"
31,"[('exploit', 'e✘p℔oiₜ')]","[('exploit', 'exploightou')]","[('exploit', 'explolt')]"
32,"[('metrics', 'ωeṭrḻcs')]","[('metrics', 'meetriks')]","[('metrics', 'meitrcs')]"
33,"[('spaces', '⫓paces')]","[('spaces', 'spacas')]","[('spaces', 'spacs')]"
34,"[('develop', 'dеvelop')]","[('develop', 'deivelop')]","[('develop', 'dev^elop')]"
35,"[('generalized', 'generalizεd')]","[('generalized', 'ganerelised')]","[('generalized', 'gierzanleed')]"
36,"[('strength', 'stnength')]","[('strength', 'sghtrengxth')]","[('strength', 'sertgnth')]"
37,"[('energy', 'eⁿergy')]","[('energy', 'anergy')]","[('energy', 'energie')]"
38,"[('deconstruction', 'deconstructỈםn')]","[('deconstruction', 'deconstructione')]","[('deconstruction', 'dcouestrtoincn')]"
39,"[('businesses', 'busiṙesຣes')]","[('businesses', 'bisinessez')]","[('businesses', 'busiesses')]"
40,"[('rendering', 'reƞdering')]","[('rendering', 'rrendewring')]","[('rendering', 'rndnereig')]"
41,"[('neural', 'neuɍal')]","[('neural', 'renual')]","[('neural', 'neurxl')]"
42,"[('addition', 'adɖiťiøn')]","[('addition', 'additiono')]","[('addition', 'adction')]"
43,"[('offers', 'ofẜers')]","[('offers', 'offerse')]","[('offers', 'ofrfes')]"
44,"[('achieves', 'achievés')]","[('achieves', 'aichieves')]","[('achieves', 'aveceihs')]"
45,"[('perform', 'ԛerform')]","[('perform', 'perfaurme')]","[('perform', 'perf`orm')]"
46,"[('transistors', 'trӓnsistors')]","[('transistors', 'trahnzisters')]","[('transistors', 'tnirssrtaos')]"
47,"[('consistently', 'cОƞsiste໗tlч')]","[('consistently', 'cunsisstontly')]","[('consistently', ':c(onsis^ten<tly')]"
48,"[('limit', 'ᷝìₘĩt')]","[('limit', 'limyt')]","[('limit', 'limite')]"
49,"[('performance', 'performan⊂e')]","[('performance', 'perphormmannce')]","[('performance', 'pcrfomrenae')]"
50,"[('temperatures', 'temperaⵌures')]","[('temperatures', 'tamperathurs')]","[('temperatures', 'temereprtuas')]"
51,"[('performance', '᪇erformance')]","[('performance', 'performancew')]","[('performance', 'p:erforman#ce')]"
52,"[('construct', 'c▢n⅔truct')]","[('construct', 'constructd')]","[('construct', 'ctnucsrot')]"
53,"[('required', 'rĕquĩȓeđ')]","[('required', 'requiredf')]","[('required', 'Requered')]"
54,"[('captures', 'çåptuȓes')]","[('captures', ""captures'"")]","[('captures', 'dapturew')]"
55,"[('exhibits', 'exhiЪits')]","[('exhibits', 'exibitis')]","[('exhibits', 'exhibi\\ts')]"
56,"[('solely', 'so⏌elႷ')]","[('solely', 'sallé')]","[('solely', 'soelly')]"
57,"[('within', 'wi⍖hin')]","[('within', 'withen')]","[('within', 'wihtin')]"
58,"[('damaged', 'damǎℊĕd')]","[('damaged', 'damamed')]","[('damaged', 'damange')]"
59,"[('bare', 'barε')]","[('bare', ""baure'"")]","[('bare', ';bare')]"
60,"[('variety', 'vaɽiety')]","[('variety', 'vearietey')]","[('variety', 'va]riety')]"
61,"[('estimation', 'estiກɵt˩on')]","[('estimation', 'estimationie')]","[('estimation', 'esomiiattn')]"
62,"[('necessary', 'neϲessary')]","[('necessary', ""necessary'"")]","[('necessary', 'necessry')]"
63,"[('perfect', 'Ɒeʳfect')]","[('perfect', ""perfected'"")]","[('perfect', 'pe^rfe=ct')]"
64,"[('regular', 'ทegular')]","[('regular', 'rhegularr')]","[('regular', 'reaglur')]"
65,"[('extended', 'eₓtended')]","[('extended', 'extendedf')]","[('extended', 'extenxef')]"
