,clean,perturbed,source,group,class,predicted,batch
0,ware,ware,dces,0,visual,war,0
1,peoples,pɛcϸies,ices,0,visual,species,0
2,tankōbon,ƫænkōοon,ices,0,visual,tankoon,0
3,integrate,įnƭeḡräte,legit_extended,0,visual,integrate,0
4,typical,typiͨáĺ,dces,0,visual,typical,0
5,boss,ooɜs,ices,0,visual,owls,0
6,predictions,predictïons,legit_extended,0,visual,predictions,0
7,moderators,mDderators,legit_extended,0,visual,moderators,0
8,limits,īíɱíƭs,legit_extended,0,visual,limits,0
9,zdnet,zabeƳ,ices,0,visual,zabe,0
10,participate,ₚarțicipate,dces,0,visual,participate,0
11,prototype,pʴoŧoₜyᵖĕ,dces,0,visual,phototype,0
12,mystery,փystϵʀҷ,ices,0,visual,psychiatrist,0
13,placement,plȧcemenǳ,ices,0,visual,placements,0
14,cells,celƚs,ices,0,visual,cells,0
15,remind,rȩmᶖnď,legit_extended,0,visual,remember,0
16,nasty,naₛty,dces,0,visual,nasty,0
17,needle,nᴲȅɖˡe,dces,0,visual,needle,0
18,tomatoes,ᆣɒᚣѲtɒӕᎦ,legit_extended,0,visual,cleveland,0
19,cleveland,cleveɨanɺ,ices,0,visual,cleveland,0
0,conf,ooňf,ices,0,visual,one,1
1,privacy,privacẏ,legit_extended,0,visual,privacy,1
2,highlights,rŀgƞligѓts,ices,0,visual,regulations,1
3,portal,pбԑtal,ices,0,visual,portal,1
4,stick,sƭiέk,ices,0,visual,steak,1
5,minnesota,minnesota,dces,0,visual,minnesota,1
6,nail,nail,legit_extended,0,visual,nail,1
7,venture,venturè,dces,0,visual,venture,1
8,beam,bèam,dces,0,visual,beam,1
9,playing,playìng,dces,0,visual,playing,1
10,deer,ȡɐeɽ,legit_extended,0,visual,driver,1
11,modified,moɖïfīӭd,dces,0,visual,modified,1
12,swiss,ѕwiss,legit_extended,0,visual,swiss,1
13,shelter,şɦelťeȓ,dces,0,visual,shelter,1
14,ferry,㎌eɼry,dces,0,visual,ferry,1
15,industries,indųstrie⫉,legit_extended,0,visual,industries,1
16,guest,guѐفt,legit_extended,0,visual,gift,1
17,wellington,weƚlington,dces,0,visual,wellington,1
18,shelf,зhelf,ices,0,visual,shelf,1
19,insider,iիsíօɘr,legit_extended,0,visual,instructor,1
0,harmful,harmẝϋɫ,legit_extended,0,visual,harmon**y**,2
1,relate,re⅂atē,dces,0,visual,relate,2
2,population,pօɼϋlation,ices,0,visual,population,2
3,dōjin,dōjiẖ,legit_extended,0,visual,doji**c**,2
4,secure,sпcure,ices,0,visual,secure,2
5,acute,acutʙ,legit_extended,0,visual,acute,2
6,katrina,Ǆӭtrïεɘ,ices,0,visual,**t**ree,2
7,appeals,apþɘalé,ices,0,visual,appeal,2
8,isbn,isԑn,ices,0,visual,is**n**'t,2
9,published,дubliʚhêd,ices,0,visual,duplicated,2
10,whilst,whilsₜ,dces,0,visual,while,2
11,draws,dɾᵃŵˢ,dces,0,visual,draw**s**,2
12,graham,gŕaham,dces,0,visual,graham,2
13,cliché,cɫǻché,ices,0,visual,**c**aché,2
14,retro,retro,legit_extended,0,visual,retro,2
15,trusts,truⱾts,legit_extended,0,visual,trouts,2
16,continent,contIʀɛŕҼ,ices,0,visual,content**r**ect,2
17,zoloft,งʘΙoft,legit_extended,0,visual,**n**oift,2
18,header,heaaer,ices,0,visual,earring**s**,2
19,earrings,ëañringʙ,ices,0,visual,earring**s**,2
0,sterling,sȶȅrĺїοg,ices,0,visual,stereo,3
1,cdna,ℂdna,dces,0,visual,dna,3
2,friendly,Ԩrieňdly,ices,0,visual,friendly,3
3,called,caȴļĕd,dces,0,visual,called,3
4,tobacco,tobaɔoo,ices,0,visual,tobacco,3
