,clean,perturbed,source,group,class,predicted,batch
0,gamma,gamma',zeroe_phonetic,0,phonetic,gamma,0
1,nursing,nursinge,zeroe_phonetic,0,phonetic,nursing,0
2,twisted,ttwistted,phonee,0,phonetic,twisted,0
3,atom,ATM,anthro_phonetic,0,phonetic,ATM,0
4,sink,sinc,phonee,0,phonetic,sink,0
5,solar,Solar,anthro_phonetic,0,phonetic,solar,0
6,selecting,selecting,anthro_phonetic,0,phonetic,selecting,0
7,immigrants,immigratnesst,zeroe_phonetic,0,phonetic,immigrants,0
8,humor,HumOr,anthro_phonetic,0,phonetic,humor,0
9,experiments,experiements,anthro_phonetic,0,phonetic,experiments,0
10,innovation,innobation,zeroe_phonetic,0,phonetic,innovation,0
11,queens,qweens,phonee,0,phonetic,queens,0
12,publicly,PuBlIcLy,anthro_phonetic,0,phonetic,publicly,0
13,fiancé,finacé,anthro_phonetic,0,phonetic,financé,0
14,settle,ssettle,phonee,0,phonetic,settle,0
15,hostel,hostil,zeroe_phonetic,0,phonetic,hostile,0
16,treating,TREATING,anthro_phonetic,0,phonetic,treating,0
17,cart,CART,anthro_phonetic,0,phonetic,cart,0
18,inner,Iner,zeroe_phonetic,0,phonetic,inner,0
19,murder,MURDERRRRRR,anthro_phonetic,0,phonetic,murder,0
0,berkeley,berkley,anthro_phonetic,0,phonetic,Berkeley,1
1,having,having,zeroe_phonetic,0,phonetic,having,1
2,nostalgic,NOSTALGIC,anthro_phonetic,0,phonetic,nostalgic,1
3,password,passwored',zeroe_phonetic,0,phonetic,password,1
4,border,border',zeroe_phonetic,0,phonetic,border,1
5,speeches,speechis,zeroe_phonetic,0,phonetic,speeches,1
6,nobody,nobady,phonee,0,phonetic,nobody,1
7,venezuela,VENEZUELA,anthro_phonetic,0,phonetic,Venezuela,1
8,associations,association'sm,zeroe_phonetic,0,phonetic,associationism,1
9,river,rivere,zeroe_phonetic,0,phonetic,river,1
10,expressed,Expressed,anthro_phonetic,0,phonetic,expressed,1
11,islands,islandn's',zeroe_phonetic,0,phonetic,islands,1
12,patricia,patrissia,zeroe_phonetic,0,phonetic,Patricia,1
13,reed,red,phonee,0,phonetic,red,1
14,apollo,apollo,anthro_phonetic,0,phonetic,Apollo,1
