,idx,clean,perturbed,predicted,batch
0,0,games,gaes,games,0
1,1,embeddings,ebnmdidges,bridges,0
2,2,decreasing,drneicesag,signage,0
3,3,dynamic,diaynmc,mindy,0
4,4,traditional,%tr$adit<ional,information,0
0,5,introduce,Indroduce,Introduce,1
1,6,highlighted,jighligntes,Illuminate,1
2,7,framework,frremowak,Fremont,1
3,8,vehicles,~vehicles,Vehicles,1
4,9,mathematical,maacitehatml,Machines,1
0,10,paper,ppaer,paper,2
1,11,rigorously,rigoro)usly,generously,2
2,12,solves,soves,shoves,2
3,13,used,\u#sed,sed,2
4,14,measure,mesure,measure,2
0,15,deep,dep,deep,3
1,16,interdisciplinary,{i|nte+rdis#c'iplinary,international,3
2,17,continuous,cuotoinnus,innovative,3
3,18,singularities,sigtnailuiers,significant,3
4,19,amount,&amount,amount,3
0,20,whether,wethher,weather,4
1,21,target,trgeat,greet,4
2,22,algorithm,algrithm,algorithm,4
3,23,charged,c>ha{rged,charged,4
4,24,expensive,expen?si\ve,expensive,4
0,25,siamese,simese,similar,5
1,26,analysis,aasilnys,silent,5
2,27,expression,eirxpseosn,experience,5
3,28,layer,layef,leaves,5
4,29,normalized,nrmalized,normalized,5
0,30,fang,fnag,angry,6
1,31,exploit,explolt,explode,6
2,32,metrics,meitrcs,mistakes,6
3,33,spaces,spacs,spaces,6
4,34,develop,dev^elop,develop,6
0,35,generalized,gierzanleed,Germany,7
1,36,strength,sertgnth,Germany,7
2,37,energy,energie,Energy,7
3,38,deconstruction,dcouestrtoincn,Dutch,7
4,39,businesses,busiesses,Businesses,7
0,40,rendering,rndnereig,generous,8
1,41,neural,neurxl,excellent,8
2,42,addition,adction,action,8
3,43,offers,ofrfes,fresh,8
4,44,achieves,aveceihs,hives,8
0,45,perform,perf`orm,performance,9
1,46,transistors,tnirssrtaos,international,9
2,47,consistently,:c(onsis^ten<tly,consistently,9
3,48,limit,limite,limit,9
4,49,performance,pcrfomrenae,performance,9
0,50,temperatures,temereprtuas,permutation,10
1,51,performance,p:erforman#ce,performance,10
2,52,construct,ctnucsrot,rotation,10
3,53,required,Requered,required,10
4,54,captures,dapturew,approval,10
0,55,exhibits,exhibi\ts,exhibit,11
