,clean,perturbed,legibility_score,legible,predicted,batch
0,label,llabel,,,label,0
1,sterling,sterling,4.98636,,sterling,0
2,determine,dȁǂermine,3.55947,,terminator,0
3,hanging,hangin,,,hanging,0
4,critics,Ↄri±ics,0.71212393,False,crystals,0
0,economies,eeconomiez,,,economies,1
1,persecuted,persecjfed,1.6596587,,persecuted,1
2,hanging,hangig,4.837311,,hanging,1
3,oops,øópſ,-2.797721,,oops,1
4,solo,"so,o",0.2681318,,soon,1
0,click,clik,4.4483356,,click,2
1,convention,єonԔєnſioŕ,-0.7960939,,jeans,2
2,streams,ɵtҝeams,-0.53213865,,teams,2
3,cleveland,cleavelenedf,,,clever,2
4,yoga,yogaa,4.446816,,yoga,2
0,cells,celos,0.54098225,,cells,3
1,limits,limts,4.921325,,limits,3
2,report,REPERT,-1.9061657,,repertory,3
3,monica,micona,4.499275,,micron,3
4,surgeons,surgons,4.8588624,,surgeons,3
0,davis,dabas,1.7886858,,database,4
1,subscriptions,subͼɐrżptions,1.1618394,,subscriptions,4
2,flooring,fllooring,,,flooring,4
3,davidson,daʋidśon,1.2472082,,Davidson,4
4,ones,όήés,1.3298047,True,oases,4
0,venture,veᶮtùrĕ,1.2876647,,variable,5
1,headquarters,herduateqars,3.956743,,headquarters,5
2,credits,cerdtis,5.002051,,certificates,5
3,moth,Moteh,-0.8899289,,motor,5
4,simultaneously,simulteneously,4.4635806,,simultaneously,5
0,distant,{dis{tan@t,-0.5408336,,discount,6
1,loose,looe,2.8750925,,love,6
2,banned,bannedf,,,banned,6
3,expression,EXPRESION,-1.4356828,,expression,6
4,clay,cleights,,,lights,6
0,krupp,Κⵤuρq,0.47031182,,curve,7
1,extent,exƫent,4.606517,,existent,7
2,calgary,calzari,1.4612019,,calzone,7
3,programmers,programmerc's,,,programmer's,7
4,influences,influenҫếs,1.2715745,False,influence,7
0,applies,alippes,4.932814,,lips,8
1,adams,adames,2.5176105,,ames,8
2,contamination,cotannmiiaotn,4.076284,,cotton,8
3,dawn,dawn,4.970232,,dawn,8
4,meta,meta,4.9647923,,meta,8
0,attacks,atƫacks,4.929722,True,attacks,9
1,likely,lÏkƏly,0.8413252,,likely,9
2,benchmark,rƶncnɸaɦk,-1.5074388,,connection,9
3,involved,INVLOVED,-0.78143305,,involved,9
4,artwork,arowtrk,4.79455,,tracker,9
0,scheduled,schedȕᶫed,1.0447226,,scheduled,10
1,algorithms,alghiratism,,,alcoholism,10
2,emerald,emeald,4.941213,,emailed,10
3,roommate,ɾoommatȇ,3.363876,,room mate,10
4,evening,evenning,,,evening,10
0,sharing,shareing,2.1972268,,sharing,11
1,viewpicture,viėաpictuŕe,2.6268332,,image,11
2,fruits,frits,4.781268,,fruits,11
3,associate,assosiat,,,associate,11
4,climbing,calimbing,3.1276577,,climbing,11
0,missouri,Խissouri,1.5405228,,Missouri,12
1,turbo,turbo,4.693933,,turbo,12
2,elections,electǐɔns,2.235975,,elections,12
3,mouse,mowse,,,mouse,12
4,toned,toned,4.9733624,,tone,12
0,suffering,suffėԻing,4.3767557,,suffocating,13
1,blended,blended,4.597545,,blend,13
2,provision,profesion,1.1961225,,profession,13
3,valuable,valueble,4.410535,,valuable,13
