Dataset,Prompting,Ratio,Category,Class,Support,Support %,Prediction,Prediction %,Precision,Recall,F1-Score,Accuracy,AUC,Confusion
legit,dces+ices,0.25,hateful,Yes,554,0.19513913349771045,1332,0.4691792884818598,0.35,0.83,0.49,0.66,0.77,"[[1415   92]
 [ 870  462]]"
legit,dces+ices,0.25,hateful,No,2285,0.8048608665022895,1507,0.5308207115181401,0.94,0.62,0.75,0.66,0.77,"[[1415   92]
 [ 870  462]]"
legit,dces+ices,0.25,offensive,Yes,879,0.30961606199365976,1453,0.5117999295526594,0.47,0.77,0.58,0.66,0.76,"[[1187  199]
 [ 773  680]]"
legit,dces+ices,0.25,offensive,No,1960,0.6903839380063402,1386,0.4882000704473406,0.86,0.61,0.71,0.66,0.76,"[[1187  199]
 [ 773  680]]"
legit,dces+ices,0.25,toxic,Yes,507,0.1785840084536809,1404,0.4945403311025009,0.25,0.69,0.37,0.57,0.67,"[[1278  157]
 [1054  350]]"
legit,dces+ices,0.25,toxic,No,2332,0.8214159915463192,1435,0.5054596688974992,0.89,0.55,0.68,0.57,0.67,"[[1278  157]
 [1054  350]]"
legit,dces+ices,0.5,hateful,Yes,553,0.19540636042402826,1388,0.49045936395759715,0.33,0.83,0.47,0.64,0.75,"[[1349   93]
 [ 928  460]]"
legit,dces+ices,0.5,hateful,No,2277,0.8045936395759717,1442,0.5095406360424029,0.94,0.59,0.73,0.64,0.75,"[[1349   93]
 [ 928  460]]"
legit,dces+ices,0.5,offensive,Yes,878,0.3102473498233215,1714,0.6056537102473498,0.43,0.85,0.57,0.61,0.73,"[[983 133]
 [969 745]]"
legit,dces+ices,0.5,offensive,No,1952,0.6897526501766784,1116,0.3943462897526502,0.88,0.5,0.64,0.61,0.73,"[[983 133]
 [969 745]]"
legit,dces+ices,0.5,toxic,Yes,507,0.17915194346289753,1584,0.5597173144876325,0.24,0.74,0.36,0.52,0.66,"[[1112  134]
 [1211  373]]"
legit,dces+ices,0.5,toxic,No,2323,0.8208480565371025,1246,0.4402826855123675,0.89,0.48,0.62,0.52,0.66,"[[1112  134]
 [1211  373]]"
legit,dces+ices,0.75,hateful,Yes,553,0.19540636042402826,1399,0.49434628975265016,0.34,0.85,0.48,0.64,0.75,"[[1347   84]
 [ 930  469]]"
legit,dces+ices,0.75,hateful,No,2277,0.8045936395759717,1431,0.5056537102473498,0.94,0.59,0.73,0.64,0.75,"[[1347   84]
 [ 930  469]]"
legit,dces+ices,0.75,offensive,Yes,878,0.3102473498233215,1704,0.6021201413427562,0.44,0.85,0.58,0.61,0.73,"[[991 135]
 [961 743]]"
legit,dces+ices,0.75,offensive,No,1952,0.6897526501766784,1126,0.3978798586572438,0.88,0.51,0.64,0.61,0.73,"[[991 135]
 [961 743]]"
legit,dces+ices,0.75,toxic,Yes,507,0.17915194346289753,1623,0.5734982332155477,0.23,0.75,0.36,0.52,0.66,"[[1079  128]
 [1244  379]]"
legit,dces+ices,0.75,toxic,No,2323,0.8208480565371025,1207,0.4265017667844523,0.89,0.46,0.61,0.52,0.66,"[[1079  128]
 [1244  379]]"
legit,dces+ices,1.0,hateful,Yes,552,0.1951219512195122,1457,0.5150229763167197,0.32,0.84,0.46,0.62,0.73,"[[1282   90]
 [ 995  462]]"
legit,dces+ices,1.0,hateful,No,2277,0.8048780487804879,1372,0.48497702368328033,0.93,0.56,0.7,0.62,0.73,"[[1282   90]
 [ 995  462]]"
legit,dces+ices,1.0,offensive,Yes,877,0.3100035348179569,2040,0.721102863202545,0.38,0.89,0.54,0.52,0.67,"[[ 696   93]
 [1256  784]]"
legit,dces+ices,1.0,offensive,No,1952,0.6899964651820432,789,0.2788971367974549,0.88,0.36,0.51,0.52,0.67,"[[ 696   93]
 [1256  784]]"
legit,dces+ices,1.0,toxic,Yes,507,0.1792152704135737,1876,0.6631318487097915,0.2,0.72,0.31,0.42,0.58,"[[ 812  141]
 [1510  366]]"
legit,dces+ices,1.0,toxic,No,2322,0.8207847295864263,953,0.33686815129020853,0.85,0.35,0.5,0.42,0.58,"[[ 812  141]
 [1510  366]]"
legit,legit,0.25,hateful,Yes,554,0.19513913349771045,1313,0.4624867911236351,0.35,0.83,0.49,0.67,0.77,"[[1432   94]
 [ 853  460]]"
legit,legit,0.25,hateful,No,2285,0.8048608665022895,1526,0.5375132088763649,0.94,0.63,0.75,0.67,0.77,"[[1432   94]
 [ 853  460]]"
legit,legit,0.25,offensive,Yes,879,0.30961606199365976,1434,0.5051074321944347,0.48,0.78,0.59,0.67,0.76,"[[1211  194]
 [ 749  685]]"
legit,legit,0.25,offensive,No,1960,0.6903839380063402,1405,0.49489256780556534,0.86,0.62,0.72,0.67,0.76,"[[1211  194]
 [ 749  685]]"
legit,legit,0.25,toxic,Yes,507,0.1785840084536809,1413,0.497710461430081,0.26,0.72,0.38,0.58,0.69,"[[1285  141]
 [1047  366]]"
legit,legit,0.25,toxic,No,2332,0.8214159915463192,1426,0.502289538569919,0.9,0.55,0.68,0.58,0.69,"[[1285  141]
 [1047  366]]"
legit,legit,0.5,hateful,Yes,553,0.19540636042402826,1372,0.48480565371024736,0.33,0.82,0.47,0.64,0.75,"[[1359   99]
 [ 918  454]]"
legit,legit,0.5,hateful,No,2277,0.8045936395759717,1458,0.5151943462897527,0.93,0.6,0.73,0.64,0.75,"[[1359   99]
 [ 918  454]]"
legit,legit,0.5,offensive,Yes,878,0.3102473498233215,1697,0.5996466431095406,0.44,0.85,0.58,0.62,0.73,"[[1001  132]
 [ 951  746]]"
legit,legit,0.5,offensive,No,1952,0.6897526501766784,1133,0.40035335689045937,0.88,0.51,0.65,0.62,0.73,"[[1001  132]
 [ 951  746]]"
legit,legit,0.5,toxic,Yes,507,0.17915194346289753,1586,0.5604240282685512,0.24,0.74,0.36,0.53,0.66,"[[1112  132]
 [1211  375]]"
legit,legit,0.5,toxic,No,2323,0.8208480565371025,1244,0.43957597173144874,0.89,0.48,0.62,0.53,0.66,"[[1112  132]
 [1211  375]]"
legit,legit,0.75,hateful,Yes,553,0.19540636042402826,1378,0.48692579505300354,0.33,0.83,0.48,0.64,0.76,"[[1358   94]
 [ 919  459]]"
