,clean,perturbed,source,group,class,predicted,batch
0,gamma,gamma',zeroe_phonetic,0,phonetic,gamma,0
1,citations,citiations,anthro_typo,0,typo,citations,0
2,ware,ware,dces,0,visual,aware,0
3,gnome,gnoje,zeroe_typo,0,typo,gone,0
4,peoples,pɛcϸies,ices,0,visual,species,0
5,directed,ditreecd,zeroe_noise,0,typo,directed,0
6,nursing,nursinge,zeroe_phonetic,0,phonetic,nursing,0
7,tankōbon,ƫænkōοon,ices,0,visual,phenomenon,0
8,twisted,ttwistted,phonee,0,phonetic,twisted,0
9,integrate,įnƭeḡräte,legit_extended,0,visual,integrate,0
10,prediction,prtection,anthro_typo,0,typo,protection,0
11,quotations,cotations,zeroe_typo,0,typo,citations,0
12,atom,ATM,anthro_phonetic,0,phonetic,ATM,0
13,typical,typiͨáĺ,dces,0,visual,typical,0
14,sink,sinc,phonee,0,phonetic,since,0
15,boss,ooɜs,ices,0,visual,choose,0
16,solar,Solar,anthro_phonetic,0,phonetic,solar,0
17,predictions,predictïons,legit_extended,0,visual,predictions,0
18,moderators,mDderators,legit_extended,0,visual,moderators,0
19,selecting,selecting,anthro_phonetic,0,phonetic,selecting,0
0,immigrants,immigratnesst,zeroe_phonetic,0,phonetic,immigrants,1
1,slightly,slighlty,zeroe_typo,0,typo,slightly,1
2,humor,HumOr,anthro_phonetic,0,phonetic,humor,1
3,jenny,jeny,zeroe_noise,0,typo,jenny,1
4,processing,prossesing,zeroe_typo,0,typo,processing,1
5,limits,īíɱíƭs,legit_extended,0,visual,limits,1
6,zdnet,zabeƳ,ices,0,visual,zebra,1
7,lindsay,l9ndsat,zeroe_typo,0,typo,landsat,1
8,experiments,experiements,anthro_phonetic,0,phonetic,experiments,1
9,participate,ₚarțicipate,dces,0,visual,participate,1
10,innovation,innobation,zeroe_phonetic,0,phonetic,innovation,1
11,thoroughly,thouroghly,anthro_typo,0,typo,thoroughly,1
12,prototype,pʴoŧoₜyᵖĕ,dces,0,visual,photography,1
13,queens,qweens,phonee,0,phonetic,queens,1
14,understood,undrstnd,anthro_typo,0,typo,understand,1
15,mystery,փystϵʀҷ,ices,0,visual,mysterious,1
16,placement,plȧcemenǳ,ices,0,visual,placement,1
17,publicly,PuBlIcLy,anthro_phonetic,0,phonetic,publicly,1
18,fiancé,finacé,anthro_phonetic,0,phonetic,fiancé,1
19,cells,celƚs,ices,0,visual,cells,1
0,settle,ssettle,phonee,0,phonetic,settle,2
1,arctic,Arctis,zeroe_typo,0,typo,Arctic,2
2,remind,rȩmᶖnď,legit_extended,0,visual,remind,2
3,hostel,hostil,zeroe_phonetic,0,phonetic,hostile,2
4,bill,bikl,zeroe_typo,0,typo,bike,2
5,nasty,naₛty,dces,0,visual,nasty,2
6,loans,loand,zeroe_typo,0,typo,loaned,2
7,heel,hddl,zeroe_typo,0,typo,huddle,2
8,treating,TREATING,anthro_phonetic,0,phonetic,treating,2
9,needle,nᴲȅɖˡe,dces,0,visual,needle,2
10,economy,Econimy,zeroe_typo,0,typo,economy,2
11,cart,CART,anthro_phonetic,0,phonetic,cart,2
