,clean,perturbed,source,group,class,predicted,batch
0,ware,ware,dces,0,visual,"ware",0
1,peoples,pɛcϸies,ices,0,visual,"species",0
2,tankōbon,ƫænkōοon,ices,0,visual,"cartoon",0
3,integrate,įnƭeḡräte,legit_extended,0,visual,"integrate",0
4,typical,typiͨáĺ,dces,0,visual,"typical",0
5,boss,ooɜs,ices,0,visual,"ooze",0
6,predictions,predictïons,legit_extended,0,visual,"predictions",0
7,moderators,mDderators,legit_extended,0,visual,"moderators",0
8,limits,īíɱíƭs,legit_extended,0,visual,"limits",0
9,zdnet,zabeƳ,ices,0,visual,"zephyr",0
10,participate,ₚarțicipate,dces,0,visual,"participate",0
11,prototype,pʴoŧoₜyᵖĕ,dces,0,visual,"prototype",0
12,mystery,փystϵʀҷ,ices,0,visual,"systems",0
13,placement,plȧcemenǳ,ices,0,visual,"placement",0
14,cells,celƚs,ices,0,visual,"cells",0
15,remind,rȩmᶖnď,legit_extended,0,visual,"remind",0
16,nasty,naₛty,dces,0,visual,"nasty",0
17,needle,nᴲȅɖˡe,dces,0,visual,"needle",0
18,tomatoes,ᆣɒᚣѲtɒӕᎦ,legit_extended,0,visual,"keyboard",0
19,cleveland,cleveɨanɺ,ices,0,visual,"cleveland",0
0,conf,ooňf,ices,0,visual,oof,1
1,privacy,privacẏ,legit_extended,0,visual,privacy,1
2,highlights,rŀgƞligѓts,ices,0,visual,rights,1
3,portal,pбԑtal,ices,0,visual,petal,1
4,stick,sƭiέk,ices,0,visual,slick,1
5,minnesota,minnesota,dces,0,visual,minnesota,1
6,nail,nail,legit_extended,0,visual,nail,1
7,venture,venturè,dces,0,visual,venture,1
8,beam,bèam,dces,0,visual,beam,1
9,playing,playìng,dces,0,visual,playing,1
10,deer,ȡɐeɽ,legit_extended,0,visual,dear,1
11,modified,moɖïfīӭd,dces,0,visual,modified,1
12,swiss,ѕwiss,legit_extended,0,visual,swiss,1
13,shelter,şɦelťeȓ,dces,0,visual,shelter,1
14,ferry,㎌eɼry,dces,0,visual,energy,1
15,industries,indųstrie⫉,legit_extended,0,visual,industries,1
16,guest,guѐفt,legit_extended,0,visual,guest,1
17,wellington,weƚlington,dces,0,visual,wellington,1
18,shelf,зhelf,ices,0,visual,shelf,1
19,insider,iիsíօɘr,legit_extended,0,visual,insider,1
0,harmful,harmẝϋɫ,legit_extended,0,visual,"harmony",2
1,relate,re⅂atē,dces,0,visual,"relate",2
2,population,pօɼϋlation,ices,0,visual,"population",2
3,dōjin,dōjiẖ,legit_extended,0,visual,"dogfish",2
4,secure,sпcure,ices,0,visual,"secure",2
5,acute,acutʙ,legit_extended,0,visual,"acute",2
6,katrina,Ǆӭtrïεɘ,ices,0,visual,"criteria",2
7,appeals,apþɘalé,ices,0,visual,"apparel",2
8,isbn,isԑn,ices,0,visual,"islet",2
9,published,дubliʚhêd,ices,0,visual,"published",2
10,whilst,whilsₜ,dces,0,visual,"whilst",2
11,draws,dɾᵃŵˢ,dces,0,visual,"draws",2
12,graham,gŕaham,dces,0,visual,"graham",2
13,cliché,cɫǻché,ices,0,visual,"cliché",2
14,retro,retro,legit_extended,0,visual,"retro",2
15,trusts,truⱾts,legit_extended,0,visual,"trusts",2
16,continent,contIʀɛŕҼ,ices,0,visual,"container",2
17,zoloft,งʘΙoft,legit_extended,0,visual,"golf",2
18,header,heaaer,ices,0,visual,"header",2
19,earrings,ëañringʙ,ices,0,visual,"learning",2
0,sterling,sȶȅrĺїοg,ices,0,visual,"sterling",3
1,cdna,ℂdna,dces,0,visual,"canna",3
2,friendly,Ԩrieňdly,ices,0,visual,"friendly",3
3,called,caȴļĕd,dces,0,visual,"called",3
4,tobacco,tobaɔoo,ices,0,visual,"tobacco",3
5,encryption,ǝnᴄɍyₚtion,dces,0,visual,"encryption",3
6,conditioning,conditƚɛɓing,ices,0,visual,"conditioning",3
7,printed,pѓiɾted,ices,0,visual,"printed",3
8,society,ṣǫciȅty,dces,0,visual,"society",3
9,bridges,bridgєs,ices,0,visual,"bridges",3
10,humanity,ₕumaniţy,dces,0,visual,"humanity",3
11,blackberry,bᶫaℂkbérɾȳ,dces,0,visual,"blackberry",3
12,signatures,зΊgnätȢɦeɵ,ices,0,visual,"signature",3
13,broadcasting,bṟoaďcaȿtinႽ,legit_extended,0,visual,"broadcasting",3
14,greece,greece,legit_extended,0,visual,"greece",3
15,high,hĩgh,dces,0,visual,"high",3
16,disposition,diṥpošitіòn,dces,0,visual,"disposition",3
17,occurring,oėcqńńiḩƴ,legit_extended,0,visual,"frequency",3
18,corner,ɔɔñner,ices,0,visual,"corner",3
19,generous,genĕɍoūṣ,dces,0,visual,"generous",3
0,municipality,ₘuniƈïƥâľity,dces,0,visual,"municipality",4
1,examples,examₚlǝs,dces,0,visual,"examples",4
2,fitting,⥌ľttiῄg,legit_extended,0,visual,"clotting",4
3,caribbean,cãґiիիεaῃ,legit_extended,0,visual,"caribbean",4
4,sentence,ṩeṉṫЄṉ⊂e,legit_extended,0,visual,"sentence",4
5,interval,їԻtebval,ices,0,visual,"interval",4
6,viewpicture,vieœpïctune,ices,0,visual,"videopicture",4
7,limited,Іiஶĭted,legit_extended,0,visual,"limited",4
8,deeply,deᏼpļy,legit_extended,0,visual,"deploy",4
9,latex,lǎtex,ices,0,visual,"latex",4
10,trial,ₜŕiaĺ,dces,0,visual,"trial",4
11,parents,parents,legit_extended,0,visual,"parents",4
12,spain,spain,legit_extended,0,visual,"spain",4
13,killer,kɬǽleň,ices,0,visual,"kaleen",4
14,thirty,tĥirty,ices,0,visual,"thirty",4
15,irrigation,ırϧigatɪoɦ,ices,0,visual,"irrigation",4
16,david,daµid,ices,0,visual,"david",4
17,livecam,livecam,ices,0,visual,"livecam",4
18,university,univɝrsȉty,dces,0,visual,"university",4
19,german,ģėrmaṅ,legit_extended,0,visual,"german",4
