Dataset,Prompting,Ratio,Bootstrap,Category,Class,Support,Support %,Prediction,Prediction %,Precision,Recall,F1-Score,Accuracy,AUC,Confusion
legit,dces+ices,0.25,0,hateful,Yes,120,0.04794246903715541,807,0.32241310427487013,0.13,0.9,0.23,0.72,0.88,"[[1684   12]
 [ 699  108]]"
legit,dces+ices,0.25,0,hateful,No,2383,0.9520575309628446,1696,0.6775868957251299,0.99,0.71,0.83,0.72,0.88,"[[1684   12]
 [ 699  108]]"
legit,dces+ices,0.25,0,offensive,Yes,120,0.04794246903715541,1027,0.41030763084298844,0.1,0.85,0.18,0.62,0.78,"[[1458   18]
 [ 925  102]]"
legit,dces+ices,0.25,0,offensive,No,2383,0.9520575309628446,1476,0.5896923691570116,0.99,0.61,0.76,0.62,0.78,"[[1458   18]
 [ 925  102]]"
legit,dces+ices,0.25,0,toxic,Yes,150,0.05992808629644426,1029,0.4111066719936077,0.1,0.69,0.18,0.61,0.71,"[[1428   46]
 [ 925  104]]"
legit,dces+ices,0.25,0,toxic,No,2353,0.9400719137035557,1474,0.5888933280063924,0.97,0.61,0.75,0.61,0.71,"[[1428   46]
 [ 925  104]]"
legit,dces+ices,0.25,1,hateful,Yes,120,0.04794246903715541,818,0.32680783060327606,0.14,0.92,0.24,0.71,0.85,"[[1676    9]
 [ 707  111]]"
legit,dces+ices,0.25,1,hateful,No,2383,0.9520575309628446,1685,0.6731921693967239,0.99,0.7,0.82,0.71,0.85,"[[1676    9]
 [ 707  111]]"
legit,dces+ices,0.25,1,offensive,Yes,120,0.04794246903715541,1003,0.40071913703555734,0.09,0.72,0.15,0.62,0.77,"[[1466   34]
 [ 917   86]]"
legit,dces+ices,0.25,1,offensive,No,2383,0.9520575309628446,1500,0.5992808629644427,0.98,0.62,0.76,0.62,0.77,"[[1466   34]
 [ 917   86]]"
legit,dces+ices,0.25,1,toxic,Yes,150,0.05992808629644426,1037,0.4143028365960847,0.1,0.72,0.18,0.61,0.7,"[[1424   42]
 [ 929  108]]"
legit,dces+ices,0.25,1,toxic,No,2353,0.9400719137035557,1466,0.5856971634039153,0.97,0.61,0.75,0.61,0.7,"[[1424   42]
 [ 929  108]]"
legit,dces+ices,0.25,2,hateful,Yes,120,0.04794246903715541,814,0.3252097483020376,0.13,0.89,0.23,0.71,0.87,"[[1676   13]
 [ 707  107]]"
legit,dces+ices,0.25,2,hateful,No,2383,0.9520575309628446,1689,0.6747902516979625,0.99,0.7,0.82,0.71,0.87,"[[1676   13]
 [ 707  107]]"
legit,dces+ices,0.25,2,offensive,Yes,120,0.04794246903715541,963,0.3847383140231722,0.1,0.78,0.17,0.64,0.79,"[[1513   27]
 [ 870   93]]"
legit,dces+ices,0.25,2,offensive,No,2383,0.9520575309628446,1540,0.6152616859768278,0.98,0.63,0.77,0.64,0.79,"[[1513   27]
 [ 870   93]]"
legit,dces+ices,0.25,2,toxic,Yes,150,0.05992808629644426,1013,0.4047143427886536,0.1,0.7,0.18,0.62,0.71,"[[1445   45]
 [ 908  105]]"
legit,dces+ices,0.25,2,toxic,No,2353,0.9400719137035557,1490,0.5952856572113464,0.97,0.61,0.75,0.62,0.71,"[[1445   45]
 [ 908  105]]"
legit,dces+ices,0.25,3,hateful,Yes,120,0.04794246903715541,803,0.32081502197363165,0.14,0.95,0.25,0.72,0.89,"[[1694    6]
 [ 689  114]]"
legit,dces+ices,0.25,3,hateful,No,2383,0.9520575309628446,1700,0.6791849780263683,1.0,0.71,0.83,0.72,0.89,"[[1694    6]
 [ 689  114]]"
legit,dces+ices,0.25,3,offensive,Yes,120,0.04794246903715541,981,0.3919296843787455,0.09,0.78,0.17,0.63,0.79,"[[1495   27]
 [ 888   93]]"
legit,dces+ices,0.25,3,offensive,No,2383,0.9520575309628446,1522,0.6080703156212545,0.98,0.63,0.77,0.63,0.79,"[[1495   27]
 [ 888   93]]"
legit,dces+ices,0.25,3,toxic,Yes,150,0.05992808629644426,1001,0.3999200958849381,0.11,0.76,0.2,0.63,0.74,"[[1466   36]
 [ 887  114]]"
legit,dces+ices,0.25,3,toxic,No,2353,0.9400719137035557,1502,0.600079904115062,0.98,0.62,0.76,0.63,0.74,"[[1466   36]
 [ 887  114]]"
legit,dces+ices,0.25,4,hateful,Yes,120,0.04794246903715541,814,0.3252097483020376,0.13,0.91,0.23,0.71,0.88,"[[1678   11]
 [ 705  109]]"
legit,dces+ices,0.25,4,hateful,No,2383,0.9520575309628446,1689,0.6747902516979625,0.99,0.7,0.82,0.71,0.88,"[[1678   11]
 [ 705  109]]"
legit,dces+ices,0.25,4,offensive,Yes,120,0.04794246903715541,1023,0.4087095485417499,0.1,0.85,0.18,0.62,0.79,"[[1462   18]
 [ 921  102]]"
legit,dces+ices,0.25,4,offensive,No,2383,0.9520575309628446,1480,0.5912904514582501,0.99,0.61,0.76,0.62,0.79,"[[1462   18]
 [ 921  102]]"
legit,dces+ices,0.25,4,toxic,Yes,150,0.05992808629644426,1055,0.421494206951658,0.1,0.71,0.18,0.6,0.7,"[[1404   44]
 [ 949  106]]"
legit,dces+ices,0.25,4,toxic,No,2353,0.9400719137035557,1448,0.578505793048342,0.97,0.6,0.74,0.6,0.7,"[[1404   44]
 [ 949  106]]"
legit,dces+ices,0.25,5,hateful,Yes,120,0.04794246903715541,797,0.3184178985217739,0.14,0.92,0.24,0.72,0.89,"[[1697    9]
 [ 686  111]]"
legit,dces+ices,0.25,5,hateful,No,2383,0.9520575309628446,1706,0.6815821014782262,0.99,0.71,0.83,0.72,0.89,"[[1697    9]
 [ 686  111]]"
legit,dces+ices,0.25,5,offensive,Yes,120,0.04794246903715541,981,0.3919296843787455,0.1,0.85,0.19,0.64,0.81,"[[1504   18]
 [ 879  102]]"
