,clean,perturbed,legibility_score,predicted,batch
0,illustrated,iellusedrrated,,ill-used,0
1,waters,waterse,,water,0
2,whilst,whilsst,,while,0
3,london,landen,,land,0
4,efficiency,Efficiency,3.8053396,efficiency,0
0,broke,breoke,,broke,1
1,personality,personality',,personality,1
2,housewives,housewhivs,,housewives,1
3,supplemental,supplemmuentel,,supplement,1
4,registrar,Registrar,3.4527113,register,1
0,couple,COUPLE,-2.587954,couple,2
1,practices,pracghteces,,practice,2
2,challenging,challengingc,,challenge,2
3,infected,inphacted,,inflated,2
4,pocket,ppocket,,pocket,2
0,priorities,priorities,4.7619333,priorities,3
1,turns,tUrNs,0.15486129,turns,3
2,mystery,mmycetery,,museum,3
3,larger,Larger,1.8218035,larger,3
4,influence,influence',,influence,3
0,yang,yagningh,,yanking,4
1,animated,ahnimatede,,animated,4
2,price,price'së,,prices,4
3,coating,cauting,,caution,4
4,sand,SAND,-2.423736,sand,4
0,indefatigable,Indefatigable,4.2608314,indefatigable,5
1,clear,cllear,,clear,5
2,apparently,apperenttly,,apparently,5
3,moments,bomments,,comments,5
4,portal,portyl,,portly,5
0,instruments,insteremenets,,instruments,6
1,creations,CRETINS,-1.0946188,cretins,6
2,gateway,gatewayve',,gateway,6
3,buttons,buttonf'ss,,buttons,6
4,increasingly,increasinglyly',,increasingly,6
0,pocket,coppat,,cappuccino,7
1,advised,ADVISED,-2.4495323,advised,7
2,wellington,Wellington,1.6813985,wellington,7
3,forms,formes,,forms,7
4,banned,bannd,,band,7
0,stuffed,stufed,,stuffed,8
1,loan,loan',,loan,8
2,complaints,complaigntc,,complaint,8
3,losses,loses,,lost,8
4,directory,directorylyp,,directory,8
0,welfare,whelfaree,,welfare,9
1,topics,tOpIcS,1.371465,topics,9
2,planes,plane'sh,,planes,9
3,chicken,chicken's',,chickens,9
4,proven,ProVeN,-1.1677476,proven,9
0,databases,databases,4.860855,database,10
1,mouse,mousse,4.5817137,mousetrap,10
2,refers,referz,,reference,10
3,ronald,ROnald,1.1875646,Ronald,10
4,known,knownnn,4.711963,known,10
0,learn,learne,,learn,11
1,lock,loakh'sM,,lock,11
2,informative,informatively'sm,,informative,11
3,specific,spaciffic,,spacious,11
4,illustrated,illustrated,4.855694,illustrate,11
0,sonic,sonich,,sonic,12
1,oracle,orakle,,oracle,12
2,advertisement,advertisment,4.783683,advertisement,12
3,workflow,whorcflow,,whirlpool,12
4,satisfactory,sagtispheactorey,,sagacity,12
0,architectural,arcytectsharral,,architect,13
1,observation,observeassiin,,observer,13
2,starts,sstarts,,start,13
3,worlds,Worlds,0.22513404,world,13
4,proc,PRC,-1.9705192,China,13
0,form,formb,,formula,14
1,anybody,enebogeedh,,envelope,14
