clean,perturbed,legibility_score,legible
distributed,dİstriduțed,3.3977518,
distributed,distribu˵ed,4.391864,
specified,зpeσifiɘd,-0.46276182,
specified,ӭpecıքied,-1.040774,
exec,exϲc,4.6916976,
exec,exeȯ,-0.70935166,
possess,posseзs,2.3544812,
possess,poŝseɨs,0.5013878,
suits,suɚͱs,-1.2577924,
suits,ɵűits,-0.4223898,
montana,Ϧontȧϧa,-2.1699188,
montana,Җoґtara,1.4970225,
metro,ώétro,-0.3674879,
metro,meҾro,0.4564162,
parker,parϏec,1.6739882,
parker,parԟʚr,2.494496,
chemicals,źhemicâīɛ,0.4887403,
chemicals,chƽmiԵalо,1.0168225,
scientific,ɛcientifɫc,2.1705482,
scientific,sεiʉnťif;Ե,-0.0721145,
denied,dĕсied,0.23128071,
denied,déԦiѐd,-0.44227436,
poly,ȥɘly,-1.569416,
poly,pϭiƴ,-1.4608842,
ship,sňɫp,-1.2234826,
ship,shíի,0.30621994,
saturn,satörn,1.8445469,
saturn,ɢátūԻn,-1.4477323,
graphic,ǥraþǹɨc,1.0197006,
graphic,grǎpnic,3.0336978,
alex,aļex,4.6256695,
alex,ԀloW,-2.7212098,
values,ԕʚlueš,-0.65004826,
values,ɵaΊuӫŝ,-2.322635,
laptops,lɑǭtòąs,-1.9660493,
laptops,ľȧbϯops,-1.4957577,
savings,saƲings,0.5477269,
savings,ɪavings,3.399845,
microwave,microɱâve,1.9274077,
microwave,mìɞгoաàʊe,-1.0052577,
inputs,ĭnpɺts,1.5831131,
inputs,iřputͼ,-1.0305425,
declaration,declařãtioп,1.9127289,
declaration,deɔlaћatîon,0.42919204,
frog,ſroқ,2.2168298,
frog,Ӻrog,1.8988814,
jury,juŕց,0.33238086,
jury,ɺurƴ,-1.4193354,
lane,læ¤e,-2.8993409,
lane,laŕe,1.8510438,
wright,wrighϊ,1.3151367,
wright,wсigħt,1.0579277,
loading,lϭading,2.03588,
loading,ĺcadîng,0.614843,
mitchell,mitcοӟīl,0.39338705,
mitchell,mɪɩƈԑȍl1,-1.947341,
unified,uŕ1Ƥied,-0.34525532,
unified,ünifǐed,2.3657928,
conspiracy,conšpiօacч,2.6023273,
conspiracy,coοspiηǎcy,2.1296644,
moderate,modeʙѳťe,-0.57372844,
moderate,mcdênʚҼe,-0.46015415,
combining,comɛininɡ,1.1486986,
combining,oombininΑ,-0.62719613,
shortly,ɘhoc˕ly,-1.0180107,
shortly,shօrtly,4.8847656,
needs,neɵͻs,-1.6590443,
needs,ɐeeӓƨ,-1.5342802,
childrens,c¤ìldrens,1.71371,
childrens,ċǹílǟrens,1.2987823,
eligibility,éligībiɬiʈŷ,2.2160573,
eligibility,elÏgibility,2.4842765,
background,oâckgħȯuсd,0.26572147,
background,cοčkgrounӫ,-0.022490468,
forwarding,forwãcdinқ,2.0325055,
forwarding,forwandinğ,4.135579,
like,ɫike,2.1002357,
like,lӏke,3.1504276,
rally,ʙäӀly,-1.1385211,
rally,raӏìч,0.14249066,
against,agâiǹsƫ,2.1706283,
against,agƌinst,2.6803582,
tend,teră,1.4013519,
tend,tʫnd,0.58444977,
orchestra,orbhesträ,0.50889874,
orchestra,orohestra,1.4898223,
inquiry,iրquiry,4.8333573,
inquiry,ƵпquirЫ,-1.0219696,
nudist,nɹáčǝt,-2.3345008,
nudist,nǓdisǂ,-0.10164965,
scripts,sžripՆs,-0.30636123,
scripts,ϩͼгîҫts,-1.2556809,
impacts,ɬmpactɘ,0.59027916,
impacts,impǡcts,3.4297447,
lasting,laɪtioӎ,-0.9948792,
lasting,īaɛtɨng,0.5590984,
bucks,bǔcks,2.6179256,
bucks,baćԷs,-1.0315149,
samoa,saʍoз,0.78065175,
samoa,śamoa,3.256371,
notes,nвҽeè,-2.5178018,
notes,notēs,2.733559,
changelog,chaґgeïoΝ,0.19397043,
changelog,chэngeloƘ,1.3393916,
newer,яɵmêr,-1.9084094,
newer,nöwer,-0.36811712,
buildings,bŮƚlԀϫngɜ,-0.22933158,
buildings,ĥuĭϩԀǻnĝs,-1.0741872,
holder,hϭǻdєr,-1.3352714,
holder,hoՖder,0.04070475,
semester,sëmέstëћ,0.3865079,
semester,śӫmëвteг,-0.24013722,
each,ƨach,0.13362522,
each,eāɛո,-1.0452524,
suggesting,suggeзťɫng,0.6709498,
suggesting,sօggêstľng,0.6543227,
thomson,thвϖɐѳn,-2.334001,
thomson,ǀhomsϭn,1.3118901,
produce,ϙԵȯduɒe,-2.255581,
produce,proɺuce,-0.03136465,
proportion,pñcpoƶϊioŕ,-0.609796,
proportion,pɐoportion,2.9187467,
connected,cȯοnecťaԀ,1.4666077,
connected,cɵnґected,3.4966357,
salvation,salvatiѳn,3.309213,
salvation,salvɘtIên,0.5390032,
transparent,ǳraґźęaґɜnt,-1.3473419,
transparent,fransparєnʻ,2.286987,
area,arĕa,1.3653822,
area,añea,-0.52537054,
title,ſiҿlė,-2.011377,
title,ɩĩtle,0.5545483,
donald,donaìd,1.4120775,
donald,dorald,4.1550074,
ecommerce,ecommѐoce,0.8866723,
ecommerce,ėcԀmmeǹce,0.29060477,
capability,ϭaիability,0.12649344,
capability,oaþabiЇiͱy,-0.0009925221,
islam,isĺam,4.1539564,
islam,iɛlam,1.0677317,
concrete,coгórete,2.42206,
concrete,ԭѳȯɛrefe,-2.4065757,
balanced,ćåļänccd,1.6692454,
balanced,οөlâñoed,-2.0585623,
spanking,ŝէanқing,0.9674909,
spanking,spankinǥ,4.8100514,
anyone,ànyəοe,1.5508548,
anyone,anɣυnĕ,0.6856995,
readily,readǻîʞ,0.04271113,
readily,reaӭiiɣ,-0.03243483,
router,rõûtʙr,1.0238092,
router,nouԢer,-1.4166487,
pope,popɞ,1.0191417,
pope,poųʚ,-2.7245684,
shakespeare,shäkesէeañє,2.3977435,
shakespeare,ȧhækeɢpearē,-0.18182315,
jacket,˦ɜcket,0.3799312,
jacket,˦ēcket,1.2522029,
passwords,passwȯсüs,-1.0474367,
passwords,pʚsswordɜ,1.345856,
shapes,shapзɜ,0.138179,
shapes,зhãϸeś,-0.50357956,
arnold,ǡԻnblâ,0.77289695,
arnold,arnoļd,3.9169145,
references,reférenceӟ,2.354886,
references,zeŀerenɔʉs,-1.7915757,
vatican,vaʈĺcaի,1.2133201,
vatican,vatɬόan,-0.8731081,
continuing,oȯntinuiňg,1.6975092,
continuing,εontiɅůiŋɡ,-1.7350863,
passive,ըӟəͽiVe,-2.794958,
passive,pasͽive,0.91298926,
nails,naǣչͽ,-3.2548766,
nails,nǎilԑ,0.08512114,
euro,єurό,3.178846,
euro,euro,4.7605424,
ethiopia,eŧhįopīa,2.4168544,
ethiopia,eҽhǏopia,1.4138076,
persian,ʂͻrsîán,-0.6103127,
persian,pɐrsian,4.855496,
reduce,reducϵ,3.5111923,
reduce,redūcʙ,0.9152891,
substantially,sնɞsƫântiaily,1.7993865,
substantially,subǝԠantiašly,2.3209212,
throws,ͳҊґowͼ,-2.6973293,
throws,throwƶ,2.071084,
races,racɵs,1.747974,
races,ráces,3.3481493,
deutsche,deutachɘ,1.7531897,
deutsche,deútsche,2.5608492,
remain,reѫɘiη,-1.253912,
remain,ʙêmaïɾ,-0.86184233,
local,loөaï,-1.5604242,
local,İoƈal,1.1775475,
disclose,diʚclose,2.422668,
disclose,äíəcloʙe,-2.0553432,
survivor,särvǐƏor,0.6026996,
survivor,surɵívcr,1.4339452,
kids,kidϩ,1.2227477,
kids,ӄiƌs,-1.0158376,
decided,áecided,2.4409738,
decided,deciƌed,4.4511952,
thee,tñee,2.4782586,
thee,tրӫe,-0.5755752,
firewall,fiгeɷäll,1.830799,
firewall,fìreʬȧll,1.8634512,
strikes,sǆriƙes,0.34606868,
strikes,stѓikes,3.1889842,
knows,kroШs,1.5994424,
knows,¤nows,-0.028560543,
moved,mōved,3.167257,
moved,mɞƏƨǔ,-3.000218,
conclusion,conċǻuзíoñ,-0.026121613,
conclusion,boʀёĺusΙoĥ,-2.3077602,
towns,townŝ,3.7613184,
towns,ŧɜϕnɐ,-3.1062632,
widescreen,wiɺesáreeԀ,0.39796248,
widescreen,wįǟescrèʙʚ,-1.9475752,
jpeg,jpeɡ,-0.024648126,
jpeg,jpɵg,2.1362307,
admissions,àdφlϲƽioñə,-2.1997135,
admissions,ɘdmÏsšĺonɒ,-1.3490893,
holds,hclda,-0.5101646,
holds,ǹόՖdȢ,-2.9963808,
deployment,oɵploɥmͼɛt,-0.7952264,
deployment,deplɘӃɸөnt,-0.8347114,
