,clean,perturbed,source,group,class,predicted,batch
0,citations,citiations,anthro_typo,0,typo,citations,0
1,gnome,gnoje,zeroe_typo,0,typo,knowledge,0
2,directed,ditreecd,zeroe_noise,0,typo,directed,0
3,prediction,prtection,anthro_typo,0,typo,protection,0
4,quotations,cotations,zeroe_typo,0,typo,quotations,0
0,slightly,slighlty,zeroe_typo,0,typo,slightly,1
1,jenny,jeny,zeroe_noise,0,typo,genie,1
2,processing,prossesing,zeroe_typo,0,typo,processing,1
3,lindsay,l9ndsat,zeroe_typo,0,typo,landscape,1
4,thoroughly,thouroghly,anthro_typo,0,typo,thoroughly,1
0,understood,undrstnd,anthro_typo,0,typo,understand,2
1,arctic,Arctis,zeroe_typo,0,typo,Arctic,2
2,bill,bikl,zeroe_typo,0,typo,bike,2
3,loans,loand,zeroe_typo,0,typo,loan,2
4,heel,hddl,zeroe_typo,0,typo,handle,2
0,economy,Econimy,zeroe_typo,0,typo,economy,3
1,maintaining,mantain,zeroe_typo,0,typo,maintain,3
2,joshua,josyua,zeroe_typo,0,typo,Joshua,3
3,threatening,threatining,anthro_typo,0,typo,threatening,3
4,freeware,freeWhere,anthro_typo,0,typo,free will,3
0,taste,taiste,anthro_typo,0,typo,taste,4
1,decide,deicide,anthro_typo,0,typo,suicide,4
2,flow,flo,zeroe_noise,0,typo,flow,4
3,streams,strems,zeroe_noise,0,typo,streams,4
4,crest,ftest,zeroe_typo,0,typo,test,4
0,balance,b!a{lance,zeroe_noise,0,typo,balance,5
1,whiskey,whisky,zeroe_noise,0,typo,whiskey,5
2,scenic,svenic,zeroe_typo,0,typo,sven,5
3,brain,nrain,zeroe_typo,0,typo,train,5
4,blues,blueIs,anthro_typo,0,typo,blues,5
0,mexico,Messico,anthro_typo,0,typo,Mexico,6
1,sulfide,sldifue,zeroe_noise,0,typo,slide,6
2,staffing,stabiing,anthro_typo,0,typo,stabling,6
3,laugh,l?augh,zeroe_noise,0,typo,laugh,6
4,stops,stopes,zeroe_typo,0,typo,stops,6
0,platinum,[lxtinhm,zeroe_typo,0,typo,urban,7
1,guard,guard,anthro_typo,0,typo,guard,7
2,antiques,an)t^i+qu$es,zeroe_noise,0,typo,questions,7
3,televisions,televisios,zeroe_noise,0,typo,televisions,7
4,persecuted,pertucseed,zeroe_noise,0,typo,pursued,7
0,podcast,podast,zeroe_noise,0,typo,podcast,8
1,nepal,ne[al,zeroe_typo,0,typo,real,8
2,driven,drievn,zeroe_noise,0,typo,driven,8
3,servicemen,scemveiern,zeroe_noise,0,typo,screenwriter,8
4,reproduce,reprouce,zeroe_noise,0,typo,produce,8
0,cancelled,fancwl.ed,zeroe_typo,0,typo,fancy,9
1,hearing,Hearung,anthro_typo,0,typo,hearing,9
2,dealing,deuling,anthro_typo,0,typo,dueling,9
3,depending,defendimg,anthro_typo,0,typo,defending,9
4,felt,feldt,anthro_typo,0,typo,felt,9
0,penalties,penalitys,anthro_typo,0,typo,penalties,10
1,referral,referrel,anthro_typo,0,typo,referral,10
2,deutsche,deutsce,zeroe_noise,0,typo,deuce,10
3,threshold,thresold,anthro_typo,0,typo,threshold,10
4,silk,silk,anthro_typo,0,typo,"silk"" (no change)",10
0,loan,Lowen,anthro_typo,0,typo,lower,11
1,guide,guite,anthro_typo,0,typo,guitar,11
2,duke,d8ke,zeroe_typo,0,typo,duke,11
3,treated,ttraeed,zeroe_noise,0,typo,trade,11
4,would,worldd,anthro_typo,0,typo,world,11
0,abroad,abroud,anthro_typo,0,typo,broad,12
1,exterior,extsripr,zeroe_typo,0,typo,sprite,12
2,secret,sercet,zeroe_noise,0,typo,secret,12
3,parks,parcs,zeroe_typo,0,typo,parks,12
4,sand,snd,zeroe_noise,0,typo,send,12
0,cornell,cornwlp,zeroe_typo,0,typo,cornwall,13
1,organisation,rganisation,zeroe_noise,0,typo,organisation,13
2,nearby,nervi,anthro_typo,0,typo,nerve,13
3,porter,ptreor,zeroe_noise,0,typo,pretor,13
4,beverage,befrage,anthro_typo,0,typo,befrag,13
0,defence,defecne,zeroe_noise,0,typo,defense,14
1,mixture,mixtire,zeroe_typo,0,typo,mixture,14
2,oracle,"orac,e",zeroe_typo,0,typo,orange,14
3,reliance,relaince,anthro_typo,0,typo,reliance,14
4,logitech,pogitech,zeroe_typo,0,typo,technology,14
0,jewellery,jowellery,zeroe_typo,0,typo,jewelry,15
1,meetup,meetup,anthro_typo,0,typo,meet,15
2,spring,Sping,zeroe_typo,0,typo,Spring,15
3,oldest,oldtext,anthro_typo,0,typo,old,15
4,café,cfaé,zeroe_noise,0,typo,café,15
0,climbing,climing,zeroe_typo,0,typo,climbing,16
1,seasons,segons,anthro_typo,0,typo,seconds,16
2,church,chuch,zeroe_typo,0,typo,church,16
3,sanford,sanrord,zeroe_typo,0,typo,sandwich,16
4,menu,manu,zeroe_typo,0,typo,manual,16
0,supplemental,supplimental,anthro_typo,0,typo,complemental,17
1,cincinnati,x9ncinnati,zeroe_typo,0,typo,Cincinnati,17
2,loaded,loaed,zeroe_noise,0,typo,loaded,17
3,associate,aocsitase,zeroe_noise,0,typo,accelerate,17
4,chamber,chamfer,anthro_typo,0,typo,"chamfer"" (This one doesn't seem to be a misspelling, but rather a correctly spelled word.)",17
0,aurora,aurora,anthro_typo,0,typo,Aurora,18
1,garcia,gatcia,zeroe_typo,0,typo,Grace,18
2,lifestyle,lifestyle,anthro_typo,0,typo,Lifestyle,18
3,artwork,arteork,zeroe_typo,0,typo,Artwork,18
4,opening,openg,zeroe_typo,0,typo,Open,18
0,adequate,adaquate,anthro_typo,0,typo,adequate,19
1,scheduled,scheaduled,zeroe_typo,0,typo,scheduled,19
2,roommate,rommate,zeroe_typo,0,typo,romantic,19
3,murray,Murrey,anthro_typo,0,typo,Murray,19
4,latinas,katibas,zeroe_typo,0,typo,basics,19
0,subscriber,subscrib@e&r,zeroe_noise,0,typo,subscriber,20
1,bikes,bkeis,zeroe_noise,0,typo,bikes,20
2,delivery,DelEvery,anthro_typo,0,typo,Deliver,20
3,mutually,mltuauly,zeroe_noise,0,typo,monthly,20
4,publication,patiocubiln,zeroe_noise,0,typo,patio,20
0,boots,_boo:ts,zeroe_noise,0,typo,boots,21
1,capable,capabale,anthro_typo,0,typo,capable,21
2,perfume,perbene,anthro_typo,0,typo,perfect,21
3,weapon,wpaeon,zeroe_noise,0,typo,pawn,21
4,burns,nurns,zeroe_typo,0,typo,turns,21
0,dealers,dellURSS,anthro_typo,0,typo,dell,22
1,achievement,acheivement,anthro_typo,0,typo,achievement,22
2,evaluated,etuelvaad,zeroe_noise,0,typo,eternal,22
3,discourage,Discrace,anthro_typo,0,typo,disgrace,22
4,adams,Adonis,anthro_typo,0,typo,Adonis,22
0,croats,croatz,zeroe_typo,0,typo,croats,23
1,minority,mino?r@i{ty,zeroe_noise,0,typo,minority,23
2,atomic,a5omif,zeroe_typo,0,typo,asomatous,23
3,year,uear,zeroe_typo,0,typo,hear,23
4,repository,rpository,zeroe_noise,0,typo,repository,23
0,corporations,corpotations,zeroe_typo,0,typo,corporations,24
1,clinic,cnliic,zeroe_noise,0,typo,clinic,24
2,located,laetocd,zeroe_noise,0,typo,laptop,24
3,databases,"databa,se$s",zeroe_noise,0,typo,databases,24
4,python,Pyton,anthro_typo,0,typo,Python,24
0,others,>o;t(her.s,zeroe_noise,0,typo,teachers,25
1,scan,svan,zeroe_typo,0,typo,van,25
2,aims,Ains,anthro_typo,0,typo,pains,25
3,enemies,`enemi;es,zeroe_noise,0,typo,enemies,25
4,taxi,axi,zeroe_noise,0,typo,axis,25
0,setup,steup,zeroe_noise,0,typo,step,26
1,input,nput,zeroe_noise,0,typo,input,26
2,desert,desset,zeroe_typo,0,typo,dessert,26
3,deserve,desereve,anthro_typo,0,typo,deserve,26
4,scholarship,scolarship,zeroe_typo,0,typo,scholarship,26
0,make,Maxe,anthro_typo,0,typo,Max,27
1,self,slf,zeroe_noise,0,typo,self,27
2,throughout,thrughtout,zeroe_typo,0,typo,throughout,27
3,apparatus,apartThis,anthro_typo,0,typo,apartment,27
4,hungarian,hungaria,zeroe_noise,0,typo,Hungary,27
0,shannon,Shannan,anthro_typo,0,typo,Shannon,28
1,know,KNIW,anthro_typo,0,typo,Know,28
2,hidden,hdden,zeroe_noise,0,typo,Hidden,28
3,global,globa,zeroe_noise,0,typo,Global,28
4,hazard,haward,anthro_typo,0,typo,Harvard,28
0,homes,omes,zeroe_noise,0,typo,homes,29
1,favor,faovr,zeroe_noise,0,typo,favor,29
2,attending,atteding,zeroe_typo,0,typo,testing,29
3,plane,Plame,anthro_typo,0,typo,flame,29
4,delaware,Delawer,zeroe_typo,0,typo,deliver,29
0,sexuality,sexuali-t|y,zeroe_noise,0,typo,sexuality,30
