,clean,perturbed,legibility_score,predicted,batch
0,appeals,apeals,4.9336104,appeals,0
1,attachment,attachmenet,4.9362893,attachment,0
2,assistance,assistence,4.8891788,assistance,0
3,jenny,Jnny,0.7856175,Jenny,0
4,commons,comm9ns,1.8499733,communions,0
0,stack,dtqdk,-2.166188,dtqdk,1
1,medical,[m%e&dica#l,-0.95209396,m%e&dica#l,1
2,sailing,sailing,4.94635,sailing,1
3,portsmouth,portsmouth,4.72906,portsmouth,1
4,larger,larr,4.6970325,larr,1
0,chamber,chamer,4.735806,chamber,2
1,mutually,Muttley,-0.42880836,muttley,2
2,impact,iacpmt,4.8160243,icpmt,2
3,clay,clayhi,-0.82110286,clayhi,2
4,brain,Brien,-0.22573738,Brian,2
0,tablet,tabet,3.7921665,tablet,3
1,discrimination,discimination,4.454996,discrimination,3
2,lynn,lnyn,4.4992223,lynx,3
3,gossip,gissop,2.0335028,gipsy,3
4,represent,rerseenpt,2.5436134,resentment,3
0,turkish,6urkish,1.914307,Turkish,4
1,circumstances,circumastances,4.6752625,circumstances,4
2,basically,basi)c~all\y,1.3846695,basically,4
3,deeply,deely,4.6354103,delayed,4
4,sort,Soret,2.2603471,shore,4
0,michigan,magciihn,4.487893,magician,5
1,township,tonkeep,0.4974966,to keep,5
2,uzbekistan,Uzbegistan,2.0378544,Uzbekistan,5
3,event,event,5.013348,even,5
4,aids,aivs,2.3775992,avise,5
0,religions,reljgipns,3.1943178,religion,6
1,observation,obersation,4.200016,observer,6
2,financing,financing,4.8390017,finance,6
3,vacancies,vniccaaes,4.7180896,vanilla,6
4,strongly,stron*gl*y,0.9983153,stronghold,6
0,anxiety,atexiny,4.5404987,authenticity,7
1,sullivan,aullivan,4.923578,authority,7
2,dash,das@h,0.45171988,dashboard,7
3,outlook,ouy;ook,-0.8746485,oyster,7
4,drama,dram/a,1.4483359,drama,7
0,diesel,die]sel,2.2803113,diesel,8
1,circuits,circuitcourts,2.9298148,peripherals,8
2,peripherals,perpherals,4.3584557,peripherals,8
3,relative,reletive,4.9522533,relative,8
4,broke,bkore,4.7651687,bork,8
0,increasingly,in:c}reasi#ngly,0.04677704,incredible,9
1,caring,cnraig,4.3059387,craig,9
2,lamb,lamb,4.9108205,lamborghini,9
3,buying,btuying,3.5377254,buying,9
4,risqué,riské,2.2611198,risky,9
0,mariah,Maarreh,0.5282052,Marrakech,10
1,instruction,irsotctinun,3.474346,Istanbul,10
2,starsmerchant,@starsmerc>h$a@n:t,0.26513898,Copenhagen,10
3,corner,cornar,4.6434636,Corner,10
4,gravity,grav.ity,4.296207,Gravity,10
0,assets,asshats,0.1521939,assholes,11
1,data,datas,3.3113904,data,11
2,precipitation,prscupifarion,2.0787368,psychiatry,11
3,warrior,waf5ior,-0.26407668,wafer,11
4,graphical,grafical,3.3333879,graphic,11
0,highlights,hitlists,4.804016,checklists,12
1,evaluated,evalhated,2.105327,evaluated,12
2,mating,maing,4.5560203,making,12
3,stuffed,stupied,-1.0912536,stupid,12
4,blended,"b,ended",1.9822717,bended,12
0,quick,uick,2.6078682,quick,13
1,guinea,guin4a,0.66107404,guinea pig,13
2,kennedy,kenndy,4.730633,kitten,13
3,london,londra,3.5069523,London,13
4,metallic,mettalic,4.7839007,metallic,13
0,thru,tbru,1.8141848,trout,14
1,listen,leason,0.28330606,lesson,14
2,structures,stuctures,5.016243,structures,14
3,meetings,Metimos,-0.9574356,metrics,14
4,viewpicture,viewpicture,3.735208,view picture,14
0,livecam,]li=vecam,1.6269381,alchemy,15
1,algorithms,apgo4ighms,-0.21197477,apocalypse,15
2,primary,primiary,4.813634,primary,15
3,mild,",ild",1.3850764,wild,15
4,venture,ventude,4.153967,ventilate,15
0,tanzania,anzania,3.5909593,azania,16
1,integrate,in6egrate,0.9254961,engrate,16
2,monica,Moncia,0.14366092,monica,16
3,rising,righwing,1.4241047,rightwing,16
4,medicine,mdicine,4.8425455,medicine,16
0,price,pirice,4.720553,pierce,17
1,sweden,Schweden,1.4351114,Sweden,17
2,deleted,deletfd,2.4062142,deleted,17
3,complaints,compalints,4.9778924,complaints,17
4,efforts,efforts,5.0103183,effort,17
0,function,funcio,2.5680425,function,18
1,echo,cho,4.2150474,choice,18
2,wallet,wal'l`e(t,-0.2901578,wall,18
3,library,libraray,4.7020965,library,18
4,challenges,caeellnghs,2.9705098,ceiling,18
0,highlighted,higlighted,4.7828217,highlighted,19
1,simultaneously,simul-taneously,4.4123945,simultaneously,19
2,parents,parants,4.8204064,parents,19
3,replaces,(rep%la/ces,-0.59370536,repeats,19
4,shōnen,senhōn,1.7040181,shonen,19
0,pack,[ack,0.8209755,acknowledge,20
1,reason,rseaon,4.856365,restaurant,20
2,mobile,Moville,-1.0547959,molloy,20
3,speak,speack,1.8129015,speak,20
4,wiltshire,w:il%tshire,0.59218276,willshire,20
0,forward,forard,4.9663105,forward,21
1,moderators,mordeoatrs,4.8246045,murderers,21
2,assurance,assurane,4.8053575,assured,21
3,publicly,publcly,2.4312985,publicly,21
4,from,Frim,0.5383689,firm,21
0,extent,extint,1.5363221,extinct,22
1,tablet,tablete,4.302398,tablet,22
2,circumstances,circunstancias,4.664188,circumstance,22
3,organisation,organ9sagion,1.5931039,organization,22
4,indefatigable,indefatigable,4.740338,indefatigable,22
0,legislation,legisaltion,4.7213135,legislation,23
1,vector,Vektor,3.9969995,vector,23
2,score,socre,4.340012,score,23
3,nail,nakl,4.1217966,knack,23
