idx,word,recovered,batch
0,gaes,gases,0
1,ebnmdidges,embeddings,0
2,drneicesag,drnicesag,0
3,diaynmc,diagnostic,0
4,%tr$adit<ional,traditional,0
5,Indroduce,Introduce,1
6,jighligntes,jighlights,1
7,frremowak,self-evolution,1
8,~vehicles,vehicles,1
9,maacitehatml,maacitehatml,1
10,ppaer,paper,2
11,rigoro)usly,rigorously,2
12,soves,solves,2
13,\u#sed,set,2
14,mesure,measure,2
15,dep,dep,3
16,{i|nte+rdis#c'iplinary,interdisciplinary,3
17,cuotoinnus,coulombic,3
18,sigtnailuiers,signals,3
19,&amount,amount,3
20,wethher,whether,4
21,trgeat,tracking,4
22,algrithm,algorithm,4
23,c>ha{rged,charged,4
24,expen?si\ve,expensive,4
25,simese,similar,5
26,aasilnys,asilnys,5
27,eirxpseosn,exposure,5
28,layef,layoff,5
29,nrmalized,normalized,5
30,fnag,Fang,6
31,explolt,explode,6
32,meitrcs,metrics,6
33,spacs,spaces,6
34,dev^elop,develop,6
35,gierzanleed,Gierzanleed,7
36,sertgnth,sertgnth,7
37,energie,energy,7
38,dcouestrtoincn,dcouestrin,7
39,busiesses,businesses,7
40,rndnereig,random,8
41,neurxl,neuronal,8
42,adction,action,8
43,ofrfes,explanations,8
44,aveceihs,average,8
45,perf`orm,perform,9
46,tnirssrtaos,MFETs,9
47,:c(onsis^ten<tly,consistently,9
48,limite,limit,9
49,pcrfomrenae,performance,9
50,temereprtuas,temperatures,10
51,p:erforman#ce,performance,10
52,ctnucsrot,ctnucsrot,10
53,Requered,Required,10
54,dapturew,dapturew,10
55,exhibi\ts,exhibit,11
56,soelly,soley,11
57,wihtin,within,11
58,damange,damage,11
59,;bare,bare,11
60,va]riety,variety,12
61,esomiiattn,esomiiation,12
62,necessry,necessary,12
63,pe^rfe=ct,perfect,12
64,reaglur,reaglur,12
65,extenxef,extended,13
66,consders,considers,13
67,fuoecss,fouecss,13
68,geemotiers,geometries,13
69,contraints,constraints,13
70,e)mpl_oye(d,e)mpl_oye(d),14
71,liguistic,linguistic,14
72,srategies,strategies,14
73,Distict,distinct,14
74,fonditiinal,fundamental,14
75,geeralization,generalization,15
76,ofen,off,15
77,ptah,path,15
78,i{nd)uced,induced,15
79,psneret,psneret,15
80,refe,refe,16
81,itetneamdire,itetneamdire,16
82,po?si&tiv;ity,polarized,16
83,mss,ms,16
84,con^ducti$v#i<t(y,conductivity,16
85,prescripted,prescribed,17
86,eak,break,17
87,odel,model,17
88,bdoy,body,17
89,ipacted,impacted,17
90,avieched,achieved,18
91,sipifcec,sparse,18
92,&s]implicial,simplicial,18
93,eerive,drive,18
94,cmtopele,completely,18
95,prolems,problems,19
96,forword,forward,19
97,"(n(a,t%ura:lly","n(a,t%ura:lly)",19
98,proose,propose,19
99,[pert\ains,pertains,19
100,endavers,endeavors,20
101,jach,jac,20
102,modle,model,20
103,obaervations,observations,20
104,bur)st,burst,20
105,tok}ens,tokens,21
106,~benef?iti/n[g,benefiti/n[g,21
107,lare,lare,21
108,ourpe4form,our form,21
109,approuch,approach,21
110,risaes,rises,22
111,learing,learning,22
112,isgnhtis,involvement,22
113,lare,large,22
114,akes,akes,22
115,iliatinby,ilatinby,23
116,u~sed,used,23
117,vari{ants,variants,23
118,slightl,slightly,23
119,lrean,learn,23
120,findinds,findings,24
121,tjroan,trojan,24
122,d=ata,d=ata,24
123,/infi)nity,infinity,24
124,birstiinal,birational,24
125,lcaol,lcaol,25
126,simpy,simply,25
127,approuch,approach,25
128,informtion,information,25
129,"hard,est",hardest,25
130,spcies,species,26
131,cagnellehs,cagnellehs,26
132,uesd,used,26
133,rcndmtemioaeon,rank-constrained matrix sensing,26
134,deepe4,deep,26
135,mhgit,mghit,27
136,elment,element,27
137,treined,trained,27
138,claswification,classification,27
139,graity,gravity,27
140,distincive,distinctive,28
141,satizfles,satisfies,28
142,pape,paper,28
143,rlncevaee,rlancevaee,28
144,agrement,agreement,28
145,mtolidieas,multimodal,29
146,")p'r[act-ic""e",p'r[act-ic,29
147,conditin,condition,29
148,p`a:r?ticular,particular,29
149,prismxtic,prismatic,29
150,sirvcee,service,30
151,(s!t-ocha:s/t{ic,s!t-ocha:s/t{ic,30
152,answr,answer,30
153,framwork,framework,30
154,lck,lock,30
155,equ(iv*ale]nce,equivalence,31
156,ise,is,31
157,neurl,neural,31
158,8neffucienf6,efficiently,31
159,]model,model,31
160,uesrs,users,32
161,provde,provide,32
162,enixmtepres,enixmtepres,32
163,fnuintocs,fnuintocs,32
164,trck,track,32
165,>towards,towards,33
166,mian,mean,33
167,expecto,expect,33
168,clmeopx,cleopatra,33
169,jont,joint,33
170,spets,specs,34
171,computr,computer,34
172,expresive,expressive,34
173,limting,limiting,34
174,ilpotent,impotent,34
175,result<s,results,35
176,netx,next,35
