,clean,perturbed,legibility_score,predicted,batch
0,illustrated,iellusedrrated,,diluted,0
1,waters,waterse,,waters,0
2,whilst,whilsst,,while,0
3,london,landen,,land,0
4,efficiency,Efficiency,3.8053396,efficiency,0
5,broke,breoke,,broke,0
6,personality,personality',,personality,0
7,housewives,housewhivs,,housewives,0
8,supplemental,supplemmuentel,,supplemental,0
9,registrar,Registrar,3.4527113,register,0
10,couple,COUPLE,-2.587954,couple,0
11,practices,pracghteces,,practices,0
12,challenging,challengingc,,challenging,0
13,infected,inphacted,,impacted,0
14,pocket,ppocket,,pocket,0
15,priorities,priorities,4.7619333,priorities,0
16,turns,tUrNs,0.15486129,turns,0
17,mystery,mmycetery,,cemetery,0
18,larger,Larger,1.8218035,larger,0
19,influence,influence',,influence,0
0,yang,yagningh,,yachting,1
1,animated,ahnimatede,,animated,1
2,price,price'së,,prices,1
3,coating,cauting,,caution,1
4,sand,SAND,-2.423736,stand,1
5,indefatigable,Indefatigable,4.2608314,indefatigable,1
6,clear,cllear,,clear,1
7,apparently,apperenttly,,apparently,1
8,moments,bomments,,comments,1
9,portal,portyl,,portly,1
10,instruments,insteremenets,,instruments,1
11,creations,CRETINS,-1.0946188,cretins,1
12,gateway,gatewayve',,gateway,1
13,buttons,buttonf'ss,,buttons,1
14,increasingly,increasinglyly',,increasingly,1
15,pocket,coppat,,coat,1
16,advised,ADVISED,-2.4495323,advised,1
17,wellington,Wellington,1.6813985,wellington,1
18,forms,formes,,forms,1
19,banned,bannd,,band,1
0,stuffed,stufed,,stuffed,2
1,loan,loan',,loan,2
2,complaints,complaigntc,,complaint,2
3,losses,loses,,loses,2
4,directory,directorylyp,,directory,2
5,welfare,whelfaree,,welfare,2
6,topics,tOpIcS,1.371465,topics,2
7,planes,plane'sh,,plane's,2
8,chicken,chicken's',,chicken's,2
9,proven,ProVeN,-1.1677476,prove,2
10,databases,databases,4.860855,databases,2
11,mouse,mousse,4.5817137,mousse,2
12,refers,referz,,refer,2
13,ronald,ROnald,1.1875646,Ronald,2
14,known,knownnn,4.711963,known,2
15,learn,learne,,learn,2
16,lock,loakh'sM,,loach's,2
17,informative,informatively'sm,,informatively,2
18,specific,spaciffic,,specific,2
19,illustrated,illustrated,4.855694,illustrated,2
0,sonic,sonich,,sound,3
1,oracle,orakle,,oracle,3
2,advertisement,advertisment,4.783683,advertisement,3
3,workflow,whorcflow,,workflow,3
4,satisfactory,sagtispheactorey,,spectacle,3
5,architectural,arcytectsharral,,architecture,3
6,observation,observeassiin,,obsession,3
7,starts,sstarts,,starts,3
8,worlds,Worlds,0.22513404,worlds,3
9,proc,PRC,-1.9705192,PR,3
10,form,formb,,form,3
11,anybody,enebogeedh,,envelope,3
12,modified,modefigedh,,modified,3
13,interim,interime,,interval,3
14,setting,settingedf,,setting,3
15,nitrogen,nitrogen,4.7374487,nitrogen,3
16,medicine,meedicune,,medicine,3
17,matches,matshes,,math,3
18,delivered,deeliverred,,delivered,3
19,lean,len,,line,3
0,memory,MEMRI,-2.3372238,memory,4
1,arising,arrising,,rising,4
2,tablet,tarblet,,tablet,4
3,processing,prosaessing,,processing,4
4,accordance,accoredansch,,acquired,4
5,controversial,controversial,4.806607,controversy,4
6,preston,Preston,1.1508085,preston,4
7,branches,bbrranches,,branches,4
8,flooring,floyring,,flying,4
9,later,lagter,,later,4
10,flavor,flavmer,,flame,4
11,sentence,xentence,,sentence,4
12,complimentary,complimentary,4.6517344,compliment,4
13,dispatched,dispaedshed,,despaired,4
14,manuals,magnewals,,magazines,4
15,referral,referal,,referral,4
16,mixture,meixtur,,mixer,4
17,divx,divx,4.691322,divide,4
18,ongoing,ongoing,4.2869916,ongoing,4
19,featuring,Featuring,3.4865062,feature,4
0,sides,Siddies,4.481206,kids,5
1,galaxy,gallquesy,,galaxy,5
2,existence,esastence,,essence,5
3,unto,unto,4.782383,on,5
4,focuses,cophexes,,coffees,5
5,discrimination,DiScRiMinAtioN,-0.81997126,discrimination,5
6,celtic,celletic,,cellastic,5
7,expect,exsppect,,expect,5
8,tactics,takticc,,tactic,5
9,suggested,suggestede,,suggested,5
10,consequences,CoNsEqUeNcEs,-0.74808556,consequences,5
11,abandoned,abandineds,,abandoned,5
12,animals,aunimeals,,animals,5
13,observation,Observation,4.3192663,observe,5
14,disciplines,dissiplinise,,discipline,5
15,artificial,artifical,4.9905396,artificial,5
16,surprised,serpreised,,despised,5
17,sound,sownd,,sound,5
18,gateway,gatewayg,,gateway,5
19,rose,Roseeee,1.4959329,roses,5
0,dawn,dawng,,dawn,6
1,architectural,arkehiteeqtsiural,,architectural,6
2,ronald,rounleded',,rounded,6
3,pittsburgh,pittsurghe,,pittsburgh,6
4,liable,liabele,,label,6
5,lamb,lahmb,,lamb,6
6,visits,VISITS,0.50182796,visits,6
7,relevant,releavent',,relevant,6
8,measurements,measurement'ss,,measurements,6
9,broker,browker,,broker,6
10,primary,primaryi,,primary,6
11,lincoln,lingon,,lingon,6
12,sellers,selers,,sellers,6
13,perry,perri,0.70707077,perry,6
14,surprised,surprisedf',,surprised,6
15,formula,formulah,,formula,6
16,dial,Dil,-0.9801113,dill,6
17,assurance,assurance,4.9511833,assurance,6
18,appearance,appearance,4.7988486,appearance,6
19,integrate,ienteghrate,,integrate,6
0,souls,soulsd,,sold,7
1,egyptian,esiyptiakn,,Egyptian,7
2,tutorial,teutoriall,,tutorial,7
3,nutritional,nutritional,4.4268293,nutritious,7
4,territories,Territories,4.1502867,territory,7
5,buttons,BUttons,0.82031506,buttons,7
6,variations,variasians,,variations,7
7,hardware,harrddware,,hardware,7
8,couple,coupale,,couple,7
9,credit,creadit,,credit,7
10,precipitation,precipitation,4.5233545,precipitate,7
11,comments,commentsh,,comments,7
12,understand,UnDeRsTaNd,-0.10995871,understand,7
13,reasons,REaSoNS,-0.0059188087,reasons,7
14,purpose,peurpose,,purpose,7
15,having,hiving,,hive,7
16,alternatives,alltternativs,,alternatives,7
17,pichunter,pichunter,,pilot,7
18,innovation,inovassion,,innovation,7
19,reason,reasen,,reason,7
0,neon,nteon,,tone,8
1,larger,larsar,,larger,8
2,dated,dated',,dated,8
3,potter,poter,4.4076004,potter,8
4,matter,maaattterrr,4.687739,matter,8
5,meet,meetedl,,metal,8
6,turkish,tourchis's,,torches,8
7,stack,stack',,stack,8
8,ending,endingn,,ending,8
9,oracle,orachlewe,,orange,8
10,satisfaction,satisfactionalf,,satisfaction,8
11,perry,perrya,,perry,8
12,adequate,adequte,2.822136,adequate,8
13,equipment,equipment',,equipment,8
14,pittsburgh,pitsburg,,Pittsburgh,8
15,silent,silentt,,silent,8
16,unique,uNIquE,-1.1819532,unique,8
17,delivering,dellivereng,,delivery,8
18,creations,creationss,,creations,8
19,iowa,yoaho,,Yahoo,8
0,drilling,drilling',,drilling,9
1,throughout,throuwht,,thought,9
2,hardware,hardwaret,,hardware,9
3,likely,likly,4.6632338,likely,9
4,only,oNLY,-0.8777685,only,9
5,dispatched,dispattafedd,,disappointed,9
6,parents,pperents,,parents,9
7,preston,praiscton,,practice,9
8,sublime,sublimen,,sublime,9
9,manufacture,manufacture,4.7299666,manufacturer,9
10,answered,answereed,4.944961,answered,9
11,lifestyle,lifestylev,,lifestyle,9
12,communicate,CoMMUnicAtE,-2.0671558,communicate,9
13,murray,murry,4.113051,mirror,9
14,disciplines,disciplines,4.8559566,disciplines,9
15,relocation,relocatin,4.460218,relocating,9
16,jersey,Gersey,,Jersey,9
17,neil,nEl,1.1344945,nel,9
18,settle,settle'sf,,settles,9
19,stone,STONE,-1.1616677,stone,9
0,slightly,selightly,,slightly,10
1,rough,rOuGh,-0.29917115,tough,10
2,vitamin,vitaminedm,,vitamin,10
3,commands,Commands,4.4806094,commands,10
4,revenue,revenue,5.0117087,revenue,10
5,awful,auphale,,pale,10
6,calgary,calgary',,Calgary,10
7,islands,Eyland's,,Island,10
8,registrar,registrar,4.96924,register,10
9,sofa,sofa,4.065605,sofa,10
10,suggest,suggest,,suggest,10
11,anthony,Ånthany,,Any,10
12,nepal,nipal,,pal,10
13,scales,scalez,,scales,10
14,phrases,ghrapes,,grapes,10
15,broker,breoker,,broker,10
16,boots,bootts,,butts,10
17,hope,hop,,hop,10
18,proxy,proxy,4.6567783,proxy,10
19,sims,Sim'sm,,Sims,10
0,trusts,tructs,,structures,11
1,grew,grew,4.797026,new,11
2,projectors,projectorsn,,projector,11
3,well,welle,,well,11
4,visits,visits,4.97786,visits,11
5,queue,qeue,,queue,11
6,poverty,poverrte,,port,11
7,partially,partiallyes,,partially,11
8,carter,cartewr,,cart,11
9,limited,limetede,,limeted,11
10,valid,valleded's,,valued,11
11,francis,francis,5.013788,frank,11
12,guitar,guittar,,guitar,11
13,infected,infecteds,,infected,11
14,salaries,salries,5.033715,salary,11
15,signatures,SIGNATURES,-2.000012,signatures,11
16,municipality,municippahlatty,,municipal,11
17,acre,acare,,care,11
18,hotel,hotele,,hotel,11
19,tobacco,tobaccot,,tobacco,11
0,challenges,chuallendjes,,challenges,12
1,albums,aulbums,,albums,12
2,analyze,analys,,analysis,12
3,manufacturing,manufacturinga,,manufacturing,12
4,arctic,arcedic,,arcadic,12
5,steps,stephs,,steps,12
6,meet,mEt,3.1123397,meat,12
7,papua,papio,,paper,12
8,vastly,vagstly,,vastly,12
9,repeat,repeit,,repeat,12
10,senior,SENIOR,-1.2818601,senior,12
11,appraisal,appraisal,5.053309,appraisal,12
12,develops,DEVELOPS,-2.0514302,develops,12
13,announce,annouence,,announce,12
14,photoshop,photoship'sl,,photoshop's,12
15,silence,silencie,5.0359297,silence,12
16,flooring,floorin,,flooring,12
17,trailers,trailern's',,trailer's,12
18,planned,PLANED,-2.980698,planned,12
19,athletes,athlete'se,,athletes,12
0,indian,Indin,2.3601258,Find,13
1,pittsburgh,Pittsburgh,3.15677,Pittsburgh,13
2,interested,interresstted,,Interested,13
3,investigator,invecetigaterh,,Investigator,13
4,easy,easiee,,Easy,13
5,awards,AWARDS,-2.7927969,Rewards,13
6,appeals,appyls,,Apples,13
7,reproductive,reproductivebel',,Reproductive,13
8,nutritional,nutritionnoll,,Nutrition,13
9,meter,mbeter,,Meter,13
10,varies,veries,,Very,13
11,anthony,enthony,,Anthony,13
12,quotations,quotation's',,Quotation,13
13,assistance,assistins,,Assistants,13
14,advertisement,advertisemently',,Advertisement,13
15,joshua,joscua,,Joshua,13
16,spank,spanc,,Span,13
17,quotations,queuottations,,Quotations,13
18,consistently,coniistentally',,Consistently,13
19,collectables,collectablese,,Collectible,13
0,replication,replucation,,replication,14
1,partners,PARTNERS,-2.572271,partners,14
2,podcast,ppaudcast,,podcast,14
3,dishes,dishes',,dishes,14
4,experiencing,eexpeeriincing,,experiencing,14
