clean,perturbed,legible,legibility_score
distributed,distributed,True,1.0
distributed,distributed,True,1.0
specified,specified,True,1.0
specified,specified,True,1.0
exec,exec,True,1.0
exec,exec,True,1.0
possess,possess,True,1.0
possess,possess,True,1.0
suits,suits,True,1.0
suits,suits,True,1.0
montana,montana,True,1.0
montana,montana,True,1.0
metro,metro,True,1.0
metro,metro,True,1.0
parker,parker,True,1.0
parker,parker,True,1.0
chemicals,chemicals,True,1.0
chemicals,chemicals,True,1.0
scientific,scientific,True,1.0
scientific,scientific,True,1.0
denied,denied,True,1.0
denied,denied,True,1.0
poly,poly,True,1.0
poly,poly,True,1.0
ship,ship,True,1.0
ship,ship,True,1.0
saturn,saturn,True,1.0
saturn,saturn,True,1.0
graphic,graphic,True,1.0
graphic,graphic,True,1.0
alex,alex,True,1.0
alex,alex,True,1.0
values,values,True,1.0
values,values,True,1.0
laptops,laptops,True,1.0
laptops,laptops,True,1.0
savings,savings,True,1.0
savings,savings,True,1.0
microwave,microwave,True,1.0
microwave,microwave,True,1.0
inputs,inputs,True,1.0
inputs,inputs,True,1.0
declaration,declaration,True,1.0
declaration,declaration,True,1.0
frog,frog,True,1.0
frog,frog,True,1.0
jury,jury,True,1.0
jury,jury,True,1.0
lane,lane,True,1.0
lane,lane,True,1.0
wright,wright,True,1.0
wright,wright,True,1.0
loading,loading,True,1.0
loading,loading,True,1.0
mitchell,mitchell,True,1.0
mitchell,mitchell,True,1.0
unified,unified,True,1.0
unified,unified,True,1.0
conspiracy,conspiracy,True,1.0
conspiracy,conspiracy,True,1.0
moderate,moderate,True,1.0
moderate,moderate,True,1.0
combining,combining,True,1.0
combining,combining,True,1.0
shortly,shortly,True,1.0
shortly,shortly,True,1.0
needs,needs,True,1.0
needs,needs,True,1.0
childrens,childrens,True,1.0
childrens,childrens,True,1.0
eligibility,eligibility,True,1.0
eligibility,eligibility,True,1.0
background,background,True,1.0
background,background,True,1.0
forwarding,forwarding,True,1.0
forwarding,forwarding,True,1.0
like,like,True,1.0
like,like,True,1.0
rally,rally,True,1.0
rally,rally,True,1.0
against,against,True,1.0
against,against,True,1.0
