,clean,perturbed,source,group,class,predicted,batch
0,gamma,gamma',zeroe_phonetic,0,phonetic,gamma,0
1,nursing,nursinge,zeroe_phonetic,0,phonetic,nursing,0
2,twisted,ttwistted,phonee,0,phonetic,twisted,0
3,atom,ATM,anthro_phonetic,0,phonetic,ATM,0
4,sink,sinc,phonee,0,phonetic,since,0
0,solar,Solar,anthro_phonetic,0,phonetic,solar,1
1,selecting,selecting,anthro_phonetic,0,phonetic,selecting,1
2,immigrants,immigratnesst,zeroe_phonetic,0,phonetic,immigration,1
3,humor,HumOr,anthro_phonetic,0,phonetic,humor,1
4,experiments,experiements,anthro_phonetic,0,phonetic,experiments,1
0,innovation,innobation,zeroe_phonetic,0,phonetic,innovation,2
1,queens,qweens,phonee,0,phonetic,queens,2
2,publicly,PuBlIcLy,anthro_phonetic,0,phonetic,publicly,2
3,fiancé,finacé,anthro_phonetic,0,phonetic,finance,2
4,settle,ssettle,phonee,0,phonetic,settle,2
0,hostel,hostil,zeroe_phonetic,0,phonetic,hostile,3
1,treating,TREATING,anthro_phonetic,0,phonetic,treating,3
2,cart,CART,anthro_phonetic,0,phonetic,cart,3
3,inner,Iner,zeroe_phonetic,0,phonetic,inner,3
4,murder,MURDERRRRRR,anthro_phonetic,0,phonetic,murder,3
0,berkeley,berkley,anthro_phonetic,0,phonetic,Berkeley,4
1,having,having,zeroe_phonetic,0,phonetic,having,4
2,nostalgic,NOSTALGIC,anthro_phonetic,0,phonetic,nostalgic,4
3,password,passwored',zeroe_phonetic,0,phonetic,password,4
4,border,border',zeroe_phonetic,0,phonetic,border,4
0,speeches,speechis,zeroe_phonetic,0,phonetic,speeches,5
1,nobody,nobady,phonee,0,phonetic,nobody,5
2,venezuela,VENEZUELA,anthro_phonetic,0,phonetic,Venezuela,5
3,associations,association'sm,zeroe_phonetic,0,phonetic,associations,5
4,river,rivere,zeroe_phonetic,0,phonetic,river,5
0,expressed,Expressed,anthro_phonetic,0,phonetic,expressed,6
1,islands,islandn's',zeroe_phonetic,0,phonetic,island's,6
2,patricia,patrissia,zeroe_phonetic,0,phonetic,patricia,6
3,reed,red,phonee,0,phonetic,red,6
4,apollo,apollo,anthro_phonetic,0,phonetic,apollo,6
