,clean,perturbed,source,group,class,predicted,batch
0,citations,citiations,anthro_typo,0,typo,citations,0
1,gnome,gnoje,zeroe_typo,0,typo,gnome,0
2,directed,ditreecd,zeroe_noise,0,typo,decreed,0
3,prediction,prtection,anthro_typo,0,typo,protection,0
4,quotations,cotations,zeroe_typo,0,typo,quotations,0
0,slightly,slighlty,zeroe_typo,0,typo,slightly,1
1,jenny,jeny,zeroe_noise,0,typo,jenny,1
2,processing,prossesing,zeroe_typo,0,typo,processing,1
3,lindsay,l9ndsat,zeroe_typo,0,typo,landscape,1
4,thoroughly,thouroghly,anthro_typo,0,typo,thoroughly,1
0,understood,undrstnd,anthro_typo,0,typo,understand,2
1,arctic,Arctis,zeroe_typo,0,typo,Arctic,2
2,bill,bikl,zeroe_typo,0,typo,bike,2
3,loans,loand,zeroe_typo,0,typo,loan,2
4,heel,hddl,zeroe_typo,0,typo,handle,2
0,economy,Econimy,zeroe_typo,0,typo,Economy,3
1,maintaining,mantain,zeroe_typo,0,typo,maintain,3
2,joshua,josyua,zeroe_typo,0,typo,Joshua,3
3,threatening,threatining,anthro_typo,0,typo,threatening,3
4,freeware,freeWhere,anthro_typo,0,typo,freedom,3
0,taste,taiste,anthro_typo,0,typo,taste,4
1,decide,deicide,anthro_typo,0,typo,decide,4
2,flow,flo,zeroe_noise,0,typo,flow,4
3,streams,strems,zeroe_noise,0,typo,streams,4
4,crest,ftest,zeroe_typo,0,typo,fast,4
0,balance,b!a{lance,zeroe_noise,0,typo,balance,5
1,whiskey,whisky,zeroe_noise,0,typo,whiskey,5
2,scenic,svenic,zeroe_typo,0,typo,Swedish,5
3,brain,nrain,zeroe_typo,0,typo,rain,5
4,blues,blueIs,anthro_typo,0,typo,blues,5
0,mexico,Messico,anthro_typo,0,typo,Mexico,6
1,sulfide,sldifue,zeroe_noise,0,typo,solidify,6
2,staffing,stabiing,anthro_typo,0,typo,stabilizing,6
3,laugh,l?augh,zeroe_noise,0,typo,laugh,6
4,stops,stopes,zeroe_typo,0,typo,stops,6
0,platinum,[lxtinhm,zeroe_typo,0,typo,lightning,7
1,guard,guard,anthro_typo,0,typo,guard,7
2,antiques,an)t^i+qu$es,zeroe_noise,0,typo,antiques,7
3,televisions,televisios,zeroe_noise,0,typo,televisions,7
4,persecuted,pertucseed,zeroe_noise,0,typo,perturbed,7
0,podcast,podast,zeroe_noise,0,typo,podcast,8
1,nepal,ne[al,zeroe_typo,0,typo,neural,8
2,driven,drievn,zeroe_noise,0,typo,driven,8
3,servicemen,scemveiern,zeroe_noise,0,typo,science,8
4,reproduce,reprouce,zeroe_noise,0,typo,reproduce,8
0,cancelled,fancwl.ed,zeroe_typo,0,typo,fancied,9
1,hearing,Hearung,anthro_typo,0,typo,hearing,9
2,dealing,deuling,anthro_typo,0,typo,dueling,9
3,depending,defendimg,anthro_typo,0,typo,defending,9
4,felt,feldt,anthro_typo,0,typo,felt,9
0,penalties,penalitys,anthro_typo,0,typo,penalties,10
1,referral,referrel,anthro_typo,0,typo,referral,10
2,deutsche,deutsce,zeroe_noise,0,typo,deutsche,10
3,threshold,thresold,anthro_typo,0,typo,threshold,10
4,silk,silk,anthro_typo,0,typo,silk,10
0,loan,Lowen,anthro_typo,0,typo,Lowen,11
1,guide,guite,anthro_typo,0,typo,quite,11
2,duke,d8ke,zeroe_typo,0,typo,duke,11
3,treated,ttraeed,zeroe_noise,0,typo,trailed,11
4,would,worldd,anthro_typo,0,typo,world,11
0,abroad,abroud,anthro_typo,0,typo,abroad,12
1,exterior,extsripr,zeroe_typo,0,typo,extensive,12
2,secret,sercet,zeroe_noise,0,typo,secret,12
3,parks,parcs,zeroe_typo,0,typo,parks,12
4,sand,snd,zeroe_noise,0,typo,send,12
0,cornell,cornwlp,zeroe_typo,0,typo,Cornwall,13
1,organisation,rganisation,zeroe_noise,0,typo,organization,13
2,nearby,nervi,anthro_typo,0,typo,nerve,13
3,porter,ptreor,zeroe_noise,0,typo,pretor,13
4,beverage,befrage,anthro_typo,0,typo,befraud,13
0,defence,defecne,zeroe_noise,0,typo,defence,14
1,mixture,mixtire,zeroe_typo,0,typo,mixer,14
2,oracle,"orac,e",zeroe_typo,0,typo,oracle,14
3,reliance,relaince,anthro_typo,0,typo,reliance,14
4,logitech,pogitech,zeroe_typo,0,typo,pogitech,14
0,jewellery,jowellery,zeroe_typo,0,typo,jewelry,15
