idx,word,recovered,batch
0,gaes,games,0
1,ebnmdidges,edges,0
2,drneicesag,driven,0
3,diaynmc,dynamic,0
4,%tr$adit<ional,tridimensional,0
5,Indroduce,Introduce,1
6,jighligntes,challenges,1
7,frremowak,refinement,1
8,~vehicles,vehicles,1
9,maacitehatml,machine learning,1
10,ppaer,paper,2
11,rigoro)usly,rigorously,2
12,soves,solves,2
13,\u#sed,used,2
14,mesure,measure,2
15,dep,deep,3
16,{i|nte+rdis#c'iplinary,interdisciplinary,3
17,cuotoinnus,cootonnus,3
18,sigtnailuiers,signalers,3
19,&amount,and amount,3
20,wethher,whether,4
21,trgeat,trajectory,4
22,algrithm,algorithm,4
23,c>ha{rged,charged,4
24,expen?si\ve,expensive,4
25,simese,semantic,5
26,aasilnys,asylum,5
27,eirxpseosn,expression,5
28,layef,layer,5
29,nrmalized,normalized,5
30,fnag,Fagin,6
31,explolt,explore,6
32,meitrcs,measures,6
33,spacs,spaces,6
34,dev^elop,develop,6
35,gierzanleed,nested logit models,7
36,sertgnth,surface,7
37,energie,energies,7
38,dcouestrtoincn,deconstruction,7
39,busiesses,businesses.,7
40,rndnereig,random,8
41,neurxl,neural,8
42,adction,addition.,8
43,ofrfes,offers,8
44,aveceihs,avails,8
45,perf`orm,perform,9
46,tnirssrtaos,magnetic-field-effect transistors,9
47,:c(onsis^ten<tly,consistently,9
48,limite,limit,9
49,pcrfomrenae,performance,9
50,temereprtuas,temperatures,10
51,p:erforman#ce,performance,10
52,ctnucsrot,categorical,10
53,Requered,Required,10
54,dapturew,dynamics,10
55,exhibi\ts,exhibits,11
56,soelly,solely,11
57,wihtin,within,11
58,damange,damage,11
59,;bare,bare,11
60,va]riety,variety,12
61,esomiiattn,assurance,12
62,necessry,necessary,12
63,pe^rfe=ct,perturbation,12
64,reaglur,regalur.,12
65,extenxef,extended,13
66,consders,considers,13
67,fuoecss,features,13
68,geemotiers,geometries,13
69,contraints,constraints,13
70,e)mpl_oye(d,employed,14
71,liguistic,linguistic,14
72,srategies,strategies,14
73,Distict,Distinct,14
74,fonditiinal,fundamental,14
75,geeralization,generalization,15
76,ofen,often.,15
77,ptah,Schrödinger,15
78,i{nd)uced,induced,15
79,psneret,pricing,15
80,refe,refer,16
81,itetneamdire,iterative,16
82,po?si&tiv;ity,positivity,16
83,mss,mass,16
84,con^ducti$v#i<t(y,conductivity,16
85,prescripted,prescribed.,17
86,eak,reduce,17
87,odel,model,17
88,bdoy,body,17
89,ipacted,impacted,17
90,avieched,averaged,18
91,sipifcec,semi-implicit,18
92,&s]implicial,simplcial,18
93,eerive,irreversible,18
94,cmtopele,cotype,18
95,prolems,problems,19
96,forword,forward,19
97,"(n(a,t%ura:lly","n(a,trivially",19
98,proose,propose,19
99,[pert\ains,pre-trained,19
100,endavers,endeavors,20
101,jach,Jacobian,20
102,modle,model,20
103,obaervations,observations,20
104,bur)st,burst,20
105,tok}ens,tokens,21
106,~benef?iti/n[g,benefits,21
107,lare,layer,21
108,ourpe4form,optimize,21
109,approuch,approach,21
110,risaes,raises,22
111,learing,learning,22
112,isgnhtis,involvement,22
113,lare,lapse,22
114,akes,acks,22
115,iliatinby,exploration.,23
116,u~sed,used,23
117,vari{ants,variants,23
118,slightl,slightly,23
119,lrean,learn,23
120,findinds,findings,24
121,tjroan,trojan,24
122,d=ata,data,24
123,/infi)nity,infinity,24
124,birstiinal,birational,24
125,lcaol,lattice,25
126,simpy,simply,25
127,approuch,approach,25
128,informtion,information,25
129,"hard,est",hardest,25
130,spcies,species,26
131,cagnellehs,cognitive.,26
132,uesd,used,26
133,rcndmtemioaeon,random matrix,26
134,deepe4,deeper,26
135,mhgit,manifest,27
136,elment,element,27
137,treined,trained,27
138,claswification,classification,27
139,graity,gravity,27
140,distincive,distinctive.,28
141,satizfles,satisfies,28
142,pape,paper,28
143,rlncevaee,recognition,28
144,agrement,agreement,28
145,mtolidieas,multimodal,29
146,")p'r[act-ic""e",proactive,29
147,conditin,condition,29
148,p`a:r?ticular,particular.,29
149,prismxtic,prismatic,29
150,sirvcee,service,30
151,(s!t-ocha:s/t{ic,stochastic,30
152,answr,answer,30
153,framwork,framework,30
154,lck,lack,30
155,equ(iv*ale]nce,equivalence,31
156,ise,ize,31
157,neurl,nerf,31
158,8neffucienf6,inefficiency,31
159,]model,model,31
160,uesrs,users,32
161,provde,provide,32
162,enixmtepres,enhance,32
163,fnuintocs,fnunoics,32
164,trck,track,32
165,>towards,towards,33
166,mian,main,33
167,expecto,expect,33
168,clmeopx,cmopx,33
169,jont,joint,33
170,spets,specs,34
171,computr,computer,34
172,expresive,expressive.,34
173,limting,limiting,34
174,ilpotent,inept,34
175,result<s,results,35
176,netx,next,35
177,!re=s<idu<a]l,represent,35
178,smineatc,smineats,35
179,holisti,holistic,35
180,unusuly,unusual,36
181,cltlninroog,catastrophic,36
182,enbaling,enabling,36
183,asesss,assess,36
184,cglaenehls,guidelines,36
185,conributions,contributions,37
186,mmainil,maintenance,37
187,th3ories,theories,37
188,lng,long,37
189,"""t#ire",tire,37
190,openning,opening,38
191,ising,growing,38
192,ak0ne,Cassini,38
193,tmie,time,38
194,taeks,takes,38
195,pases,passes,39
196,i`mple<men$ta^tion,implemen$ation,39
197,investiate,investigate,39
198,mxnifolds,manifolds,39
199,Wele,Well,39
200,growin,growing,40
201,trin,train,40
202,'landscape,landscape,40
203,asynchronou,asynchronous,40
204,sho,show,40
205,symmtry,symmetry,41
206,analise,analyze,41
