,clean,perturbed,legibility_score,legible,predicted,batch
0,appeals,appéa1s,0.920814,,appease,0
1,attachment,attachment,5.044752,True,attach,0
2,assistance,aᶊsistaᴺcê,1.2429631,,assistant,0
3,jenny,jeⁿⁿy,0.7895414,,jealous,0
4,commons,cơmmoⁿs,1.6307205,,commonly,0
0,stack,staℂk,1.3766938,,stack,1
1,medical,meȧicaї,2.897969,,magic,1
2,sailing,şaᶖḷᶖnġ,4.313528,True,shallow,1
3,portsmouth,portsmОuȶh,4.331984,False,smooth,1
4,larger,iārger,1.7903979,,larger,1
0,chamber,chaϖbeѓ,0.43424624,,church,2
1,mutually,ᥞ⋃tuallᖙ,-0.4975824,,tutorial,2
2,impact,lmpázt,-0.28043097,,past,2
3,clay,ɕlǎy,1.7976358,False,play,2
4,brain,brain,4.885752,True,brain,2
0,tablet,táblet,3.8569274,,table,3
1,discrimination,dişͨrࠨminatioñ,2.2742434,,information,3
2,lynn,lyon,0.8666385,,lion,3
3,gossip,gossìç,-1.6920134,,gossip,3
4,represent,repŕesenʢ,1.9159281,,representation,3
0,turkish,tuŗkișh,4.071686,,turtle,4
1,circumstances,ĉìrçumstances,3.7149565,,circumstances,4
2,basically,bзsiċalĺϤ,1.3108594,,business,4
3,deeply,dǝeply,1.7118083,,deeply,4
4,sort,ឨʘӶ֏,-3.097832,True,elephant,4
0,michigan,michìgan,3.583693,,Michigan,5
1,township,townsἡip,1.1818802,True,townships,5
2,uzbekistan,Մzbeқistàn,1.2819682,False,Moscow,5
3,event,eVent,4.348892,True,event,5
4,aids,àìđŝ,1.9301623,,Africa,5
0,religions,reliĝiߐns,2.7052512,,religion,6
1,observation,ȫbßeɍvatiơⁿ,-0.47780922,,beautiful,6
2,financing,∮inaຖcïnǧ,1.0618263,True,mining,6
3,vacancies,Ҍácancĺes,0.07919264,,academics,6
4,strongly,sƤrɛԻgǏy,0.40001568,,sergeant,6
0,anxiety,սnxiөͳy,-1.6041114,,sunny,7
1,sullivan,ṥுlli㏞ǡᶇ,-1.9127625,,ultraviolet,7
2,dash,dэзh,-0.32730764,,death,7
3,outlook,outloǒk,2.8572693,,outlook,7
4,drama,dǹǒǌǎ,-2.486994,,dangerous,7
0,diesel,dîesɘǐ,-0.27016395,,dies,8
1,circuits,сirсuitѕ,5.0229683,True,suits,8
2,peripherals,õeriqheraɫs,0.5155661,,queries,8
3,relative,reỊative,2.9929543,True,reactive,8
4,broke,brokɘ,1.9501742,,broke,8
0,increasingly,increosingïy,1.8706219,,increasing,9
1,caring,caǹiѓ¤,-1.4205409,,canyon,9
2,lamb,lѳmћ,-1.8350594,False,limb,9
3,buying,ʙuȳĩnǧ,-0.41297975,,buying,9
4,risqué,riʂΟué,1.4054106,,rising,9
0,mariah,שaṅiɵḃ,-2.4440553,False,shangri,10
1,instruction,ʖիsίruötľôԻ,-1.0711285,,silhouette,10
2,starsmerchant,stэrsШʚrcгaґt,0.59490776,,stars,10
3,corner,ℂórner,1.8860656,,anger,10
4,gravity,grϧƀiʥց,-2.726308,,gravity,10
0,assets,a⊴sets,0.7888731,True,assess,11
1,data,dãta,3.5479944,,data,11
2,precipitation,preciₚitaₜĩoƞ,0.9006446,,precision,11
