,clean,perturbed,source,group,class,predicted,batch
0,ware,ware,dces,0,visual,aware,0
1,peoples,pɛcϸies,ices,0,visual,peculiarities,0
2,tankōbon,ƫænkōοon,ices,0,visual,thank you,0
3,integrate,įnƭeḡräte,legit_extended,0,visual,integrate,0
4,typical,typiͨáĺ,dces,0,visual,typical,0
0,minnesota,minnesota,dces,0,visual,minnesota,5
1,nail,nail,legit_extended,0,visual,nail,5
2,venture,venturè,dces,0,visual,venture,5
3,beam,bèam,dces,0,visual,beam,5
4,playing,playìng,dces,0,visual,playing,5
0,deer,ȡɐeɽ,legit_extended,0,visual,weary,6
1,modified,moɖïfīӭd,dces,0,visual,modified,6
2,swiss,ѕwiss,legit_extended,0,visual,swiss,6
3,shelter,şɦelťeȓ,dces,0,visual,sheltered,6
4,ferry,㎌eɼry,dces,0,visual,merry,6
0,industries,indųstrie⫉,legit_extended,0,visual,industry,7
1,guest,guѐفt,legit_extended,0,visual,guest,7
2,wellington,weƚlington,dces,0,visual,wellington,7
3,shelf,зhelf,ices,0,visual,shelf,7
4,insider,iիsíօɘr,legit_extended,0,visual,isomer,7
0,harmful,harmẝϋɫ,legit_extended,0,visual,harmful,8
1,relate,re⅂atē,dces,0,visual,relate,8
2,population,pօɼϋlation,ices,0,visual,population,8
3,dōjin,dōjiẖ,legit_extended,0,visual,doji,8
4,secure,sпcure,ices,0,visual,secure,8
0,whilst,whilsₜ,dces,0,visual,while,10
1,draws,dɾᵃŵˢ,dces,0,visual,drawing,10
2,graham,gŕaham,dces,0,visual,graham,10
3,cliché,cɫǻché,ices,0,visual,cliché,10
4,retro,retro,legit_extended,0,visual,retro,10
0,trusts,truⱾts,legit_extended,0,visual,trusts,11
1,continent,contIʀɛŕҼ,ices,0,visual,contrary,11
2,zoloft,งʘΙoft,legit_extended,0,visual,soft,11
3,header,heaaer,ices,0,visual,hearer,11
4,earrings,ëañringʙ,ices,0,visual,earning,11
0,sterling,sȶȅrĺїοg,ices,0,visual,searching,12
1,cdna,ℂdna,dces,0,visual,DNA,12
2,friendly,Ԩrieňdly,ices,0,visual,frigidly,12
3,called,caȴļĕd,dces,0,visual,calculated,12
4,tobacco,tobaɔoo,ices,0,visual,tobacco,12
0,interval,їԻtebval,ices,0,visual,ebullient,17
1,viewpicture,vieœpïctune,ices,0,visual,epitome,17
2,limited,Іiஶĭted,legit_extended,0,visual,elated,17
3,deeply,deᏼpļy,legit_extended,0,visual,depletion,17
4,latex,lǎtex,ices,0,visual,latex,17
0,trial,ₜŕiaĺ,dces,0,visual,trial,18
1,parents,parents,legit_extended,0,visual,parent,18
2,spain,spain,legit_extended,0,visual,Spain,18
3,killer,kɬǽleň,ices,0,visual,calm,18
4,thirty,tĥirty,ices,0,visual,thirty,18
0,rage,rage,legit_extended,0,visual,rage,20
1,plumbing,ₚlumbiñg,dces,0,visual,climbing,20
2,usps,uspə,ices,0,visual,us,20
3,lincoln,lincöɭn,dces,0,visual,Lincoln,20
4,surprised,surpriseđ,dces,0,visual,surprised,20
0,surrey,surrey,legit_extended,0,visual,surrey,22
1,yield,ɏïe℔d,dces,0,visual,fired,22
2,kingston,kiᴺℊₛtӫn,dces,0,visual,kitten,22
3,rocks,ɍɐcks,ices,0,visual,rocks,22
4,trustees,trusẛees,legit_extended,0,visual,trustees,22
0,steps,sҒeps,ices,0,visual,steps,23
1,speaks,sпeaǅs,ices,0,visual,seasons,23
2,topics,topIcs,legit_extended,0,visual,topics,23
3,tongue,ₜõngʉe,dces,0,visual,ongoing,23
4,server,server,dces,0,visual,server,23
0,iowa,ioӝa,ices,0,visual,idea,26
1,assets,assełs,legit_extended,0,visual,assess,26
2,work,worₖ,dces,0,visual,worth,26
3,truth,tᛚuth,legit_extended,0,visual,truth,26
4,inherited,inₕȅɍitéd,dces,0,visual,indicated,26
0,missouri,miɢƶoûrɫ,ices,0,visual,migrate,28
1,kinase,kinôsс,ices,0,visual,kinetic,28
2,strict,ſtɾiͨt,dces,0,visual,strict,28
3,recommend,ᴩecoɷɷend,legit_extended,0,visual,predict,28
4,treat,trɛat,legit_extended,0,visual,treat,28
0,somewhat,sơmewɥaₜ,dces,0,visual,somewhere,29
1,rough,ɾouᵍh,dces,0,visual,rough,29
2,fielded,fielđed,dces,0,visual,fielded,29
3,jamaica,jaₘǟica,dces,0,visual,jargonic,29
4,findings,fiռdingᶊ,legit_extended,0,visual,funding,29
0,lies,lies,legit_extended,0,visual,lies,30
1,façades,⭱açades,legit_extended,0,visual,parades,30
2,imagination,imaԞination,ices,0,visual,imagination,30
3,merely,mereļy,dces,0,visual,merely,30
4,featuring,feǒτörinǧ,ices,0,visual,forecasting,30
0,only,ᴑnlü,legit_extended,0,visual,envy,31
1,galleries,galleřies,dces,0,visual,galleries,31
2,grâce,gɽâce,dces,0,visual,grace,31
3,library,l℩ᲂƥáƥᔘ,legit_extended,0,visual,luxury,31
4,cute,cutօ,legit_extended,0,visual,cut,31
0,ferry,ͳerπy,ices,1,visual,pery,33
1,merely,merƨly,ices,1,visual,merly,33
2,cdna,cöna,ices,1,visual,cona,33
3,draws,drawė,ices,1,visual,draw,33
4,machinery,macդinery,legit_extended,1,visual,machinery,33
0,hardware,hardᷱaɍe,dces,1,visual,hardware,34
1,disposition,ǎiʛЦosition,ices,1,visual,position,34
2,voters,votérŞ,legit_extended,1,visual,voters,34
3,crucial,cruciӕl,legit_extended,1,visual,crucial,34
