idx,word,recovered,batch
0,getmes,getmes,0
1,embeddingsw,embeddings,0
2,decreasein,decrease,0
3,dynamyk,dynamical,0
4,treadeitionel,traditional,0
5,intruduce,introduce,1
6,highlited',highlighted,1
7,frretmework,self-evolution,1
8,vyhicules,vehicles,1
9,mathematichell,mathematical,1
10,papir,paper,2
11,reegorously,regularly,2
12,solvez,solve,2
13,uzed,used,2
14,measuree,measure,2
15,deepp,deep,3
16,interdisictionally's,interdisciplinary's,3
17,cohntynnuous,continuous,3
18,singularithes,singularities,3
19,amaunt,amount,3
20,weathur,weather,4
21,targat,target,4
22,ahlgorithom,algorithm,4
23,chargd,charged,4
24,expensyv,expensive,4
25,saiamese,Siamese,5
26,anagllysis,analysis,5
27,exsprression,expression,5
28,layere,layer,5
29,normmalyzed,normalized,5
30,fagng,Fang,6
31,exploightou,exploit,6
32,meetriks,metrics,6
33,spacas,spaces,6
34,deivelop,develop,6
35,ganerelised,generalized,7
36,sghtrengxth,strength,7
37,anergy,energy,7
38,deconstructione,deconstruction,7
39,bisinessez,businesses,7
40,rrendewring,rendering,8
41,renual,renal,8
42,additiono,addition,8
43,offerse,offer,8
44,aichieves,achieves,8
45,perfaurme,performance,9
46,trahnzisters,MFETs,9
47,cunsisstontly,continuously,9
48,limyt,limit,9
49,perphormmannce,performance,9
50,tamperathurs,temperatures,10
51,performancew,performance,10
52,constructd,constructed,10
53,requiredf,required,10
54,captures',captures,10
55,exibitis,exhibits,11
56,sallé,salle,11
57,withen,within,11
58,damamed,damaged,11
59,baure',bare,11
60,vearietey,variety,12
61,estimationie,estimation,12
62,necessary',necessary,12
63,perfected',perfected,12
64,rhegularr,regular,12
65,extendedf,extended,13
66,cenesiders,cenesiders,13
67,ffocusez,focuses,13
68,sieomeetriez,sieomeetriez,13
69,constraintse,constrain,13
70,employeded',employed,14
71,linggguistik,linguistics,14
72,stratedgeezz,strategies,14
73,distincted,distinct,14
74,conditionall,conditionally,14
75,ganerallizaytion,generalization,15
76,oftehn,often,15
77,peath,path,15
78,indused,induced,15
79,presenttt,present,15
80,repher,refer,16
81,inetermediet,intermediate,16
82,positivity,positivity,16
83,mas,mas,16
84,condocdtivite,conductivity,16
85,frescribed,prescribed,17
86,ppeak,peak,17
87,modell,model,17
88,bodey,body,17
89,ichmpagcted,attacked,17
90,ahchieved,achieved,18
91,spaciffic,specific,18
92,simplicial,simplicial,18
93,derrive',derive,18
94,cempplete,complete,18
95,problems',problems,19
96,forwared,forward,19
97,nattiureally,naturally,19
98,proppose,propose,19
99,Pertan'sl,Pertan'sl,19
100,endiver's,end-to-end,20
101,mack',mack,20
102,moddles,models,20
103,osbervations,observations,20
104,burrst,burst,20
105,toxens,tokens,21
106,bbentefiting,benefiting,21
107,lorge,large,21
108,outspormer',outsporter,21
109,approich,approach,21
110,raisez,raises,22
111,learkning,learning,22
112,insits,involves,22
113,largem,large,22
114,takess,takes,22
115,inabelety,inability,23
116,usd,used,23
117,varianttse,variantse,23
118,slightlyi,slightly,23
119,learn',learn,23
120,finding'sl,findings,24
121,SrovOn,SrovOn,24
122,date,date,24
123,inefinittey,infinity,24
124,borational,borational,24
125,locel,local,25
126,sympoly',sympolies,25
127,aptroach,approach,25
128,inefformationh,information,25
129,haredepst,hardest,25
130,spiecies,species,26
131,challengese,challenges,26
132,oosed,used,26
133,rrekommendashon,recommendation,26
134,deiper,deeper,26
135,mbight,might,27
136,elementtt,element,27
137,traineded,trained,27
138,classification',classification,27
139,gravity',gravity,27
140,distincticy,distinctivity,28
141,satifizes,satisfies,28
142,ppaper,paper,28
143,relivancee,relevance,28
144,aghrement,agreement,28
145,modality'sl,modality,29
146,prracttice,practice,29
147,ckonedition,condition,29
148,ppoticullar,potential,29
149,prysmatic,prysmatic,29
150,servece,service,30
151,sttochasttic,stochastic,30
152,aincer,incer,30
153,framework',framework,30
154,llack,lack,30
155,equivalence',equivalence,31
156,ris,rise,31
157,neurale,neuronal,31
158,unifficiency,inefficiency,31
159,modul,model,31
160,uzers,users,32
161,pruvide,provide,32
162,eixsperimennts,experiments,32
163,funktiens,functions,32
164,treack,track,32
165,tteowareds,towards,33
166,man,men,33
167,expectedl,expected,33
168,cameplex,complex,33
169,joent,joint,33
170,staps,staps,34
171,chomputeer,computer,34
172,expressivel,expressive,34
173,lechmiting,lechmitting,34
174,nilpotent,nilpotent,34
175,riesolts,results,35
176,nesked's',nesked's,35
177,resedgeual,residual,35
178,ssymantic,symmetric,35
179,holicetilk,holicetylk,35
180,unusiualy,unusually,36
181,centrollin,centralizing,36
182,enablleng,enabling,36
183,assass,assess,36
184,shallehndges,shallehndges,36
185,cantrubyutiohns,cantrubyutions,37
186,mminimol,minimal,37
187,theirise,their,37
188,lang,lang,37
189,tir,tire,37
190,openinged',opened,38
191,reyesing,rising,38
192,alone',alone,38
193,teime,time,38
194,takeques',takes,38
195,phazes,phases,39
196,implimmentteetion,implementation,39
197,investigatedbe,investigated,39
198,manifoldso,manifolds,39
199,welle,well,39
200,growing',growing,40
201,tran,train,40
202,landscayp,landscape,40
203,asyngchronest,asynchronous,40
204,schow,show,40
205,ssymmetri,symmetry,41
206,analysils,analyses,41
207,contducghted,contributed,41
208,conjecturo,conjecture,41
209,domayn,domain,41
210,prepar,prepare,42
211,thilondry,thilondry,42
212,Chrestal's,Chrestals,42
213,tackl,tackle,42
214,mmath,math,42
215,discropency,discrepancy,43
216,ziro,zero,43
217,nonlinger,nonlinear,43
218,hyperparameter,hyperparameters,43
219,Anglish,English,43
220,particularoully,particularly,44
221,spaice,space,44
222,compoesd,composed,44
223,ebsorve,absorb,44
224,energetically,energetically,44
225,rationally',rationally,45
