,idx,clean,perturbed,predicted,batch
0,0,games,getmes,messages,0
1,1,embeddings,embeddingsw,understanding,0
2,2,decreasing,decreasein,increase,0
3,3,dynamic,dynamyk,dynamic,0
4,4,traditional,treadeitionel,edition,0
0,5,introduce,intruduce,introduce,1
1,6,highlighted,highlited',highlighted,1
2,7,framework,frretmework,framework,1
3,8,vehicles,vyhicules,vehicles,1
4,9,mathematical,mathematichell,mathematichel,1
0,10,paper,papir,paper,2
1,11,rigorously,reegorously,regulator,2
2,12,solves,solvez,solve,2
3,13,used,uzed,used,2
4,14,measure,measuree,measure,2
0,15,deep,deepp,deep,3
1,16,interdisciplinary,interdisictionally's,international,3
2,17,continuous,cohntynnuous,continuous,3
3,18,singularities,singularithes,singularities,3
4,19,amount,amaunt,amount,3
0,20,whether,weathur,weather,4
1,21,target,targat,target,4
2,22,algorithm,ahlgorithom,algorithm,4
3,23,charged,chargd,charged,4
4,24,expensive,expensyv,expensive,4
0,25,siamese,saiamese,Thai,5
1,26,analysis,anagllysis,analysis,5
2,27,expression,exsprression,expression,5
3,28,layer,layere,layer,5
4,29,normalized,normmalyzed,normalized,5
0,30,fang,fagng,flag,6
1,31,exploit,exploightou,experiment,6
2,32,metrics,meetriks,measurements,6
3,33,spaces,spacas,spaces,6
4,34,develop,deivelop,develop,6
0,35,generalized,ganerelised,organized,7
1,36,strength,sghtrengxth,strength,7
2,37,energy,anergy,anger,7
3,38,deconstruction,deconstructione,construction,7
4,39,businesses,bisinessez,business,7
0,40,rendering,rrendewring,renewing,8
1,41,neural,renual,renewal,8
2,42,addition,additiono,addition,8
3,43,offers,offerse,offers,8
4,44,achieves,aichieves,achieve,8
0,45,perform,perfaurme,performance,9
1,46,transistors,trahnzisters,transistors,9
2,47,consistently,cunsisstontly,consistently,9
3,48,limit,limyt,limit,9
4,49,performance,perphormmannce,performance,9
0,50,temperatures,tamperathurs,tampered,10
1,51,performance,performancew,performance,10
2,52,construct,constructd,constructed,10
3,53,required,requiredf,required,10
4,54,captures,captures',capture,10
0,55,exhibits,exibitis,exhibit,11
1,56,solely,sallé,sale,11
2,57,within,withen,within,11
3,58,damaged,damamed,damaged,11
4,59,bare,baure',bore,11
0,60,variety,vearietey,variety,12
1,61,estimation,estimationie,estimation,12
2,62,necessary,necessary',necessary,12
3,63,perfect,perfected',perfected,12
4,64,regular,rhegularr,regular,12
0,65,extended,extendedf,extended,13
1,66,considers,cenesiders,consider,13
2,67,focuses,ffocusez,focus,13
3,68,geometries,sieomeetriez,measure,13
4,69,constraints,constraintse,constraints,13
0,70,employed,employeded',employed,14
1,71,linguistic,linggguistik,linguistics,14
2,72,strategies,stratedgeezz,strategize,14
3,73,distinct,distincted,distinct,14
4,74,conditional,conditionall,conditional,14
0,75,generalization,ganerallizaytion,generalization,15
1,76,often,oftehn,often,15
2,77,path,peath,path,15
3,78,induced,indused,induced,15
4,79,present,presenttt,present,15
0,80,refer,repher,referee,16
1,81,intermediate,inetermediet,indefinite,16
2,82,positivity,positivity,positive,16
3,83,mass,mas,mass,16
4,84,conductivity,condocdtivite,conditional,16
0,85,prescribed,frescribed,described,17
1,86,peak,ppeak,peak,17
2,87,model,modell,model,17
3,88,body,bodey,body,17
4,89,impacted,ichmpagcted,impacted,17
0,90,achieved,ahchieved,achieve,18
1,91,specific,spaciffic,specific,18
2,92,simplicial,simplicial,simple,18
3,93,derive,derrive',drive,18
4,94,complete,cempplete,complete,18
0,95,problems,problems',problems,19
1,96,forward,forwared,forward,19
2,97,naturally,nattiureally,naturally,19
3,98,propose,proppose,propose,19
4,99,pertains,Pertan'sl,partners,19
0,100,endeavors,endiver's,diver's,20
1,101,mach,mack',black,20
2,102,model,moddles,modules,20
3,103,observations,osbervations,observations,20
4,104,burst,burrst,burst,20
0,105,tokens,toxens,toxins,21
1,106,benefiting,bbentefiting,benefiting,21
2,107,large,lorge,large,21
3,108,outperform,outspormer',overspending,21
4,109,approach,approich,approach,21
0,110,raises,raisez,raises,22
1,111,learning,learkning,learning,22
2,112,insights,insits,sits,22
3,113,large,largem,large,22
4,114,takes,takess,takes,22
0,115,inability,inabelety,inability,23
1,116,used,usd,used,23
2,117,variants,varianttse,variants,23
3,118,slightly,slightlyi,slightly,23
4,119,learn,learn',learn,23
0,120,findings,finding'sl,findings,24
1,121,trojan,SrovOn,save on,24
2,122,data,date,date,24
3,123,infinity,inefinittey,infinity,24
4,124,birational,borational,boring,24
0,125,local,locel,level,25
1,126,simply,sympoly',symphony,25
2,127,approach,aptroach,approach,25
3,128,information,inefformationh,information,25
4,129,hardest,haredepst,depress,25
0,130,species,spiecies,species,26
1,131,challenges,challengese,challenges,26
2,132,used,oosed,used,26
3,133,recommendation,rrekommendashon,recommendation,26
4,134,deeper,deiper,deeper,26
0,135,might,mbight,might,27
1,136,element,elementtt,element,27
2,137,trained,traineded,trained,27
3,138,classification,classification',classification,27
4,139,gravity,gravity',gravity,27
0,140,distinctive,distincticy,diversity,28
1,141,satisfies,satifizes,satisfies,28
2,142,paper,ppaper,paper,28
