,clean,perturbed,source,group,class,predicted,batch
0,citations,citiations,anthro_typo,0,typo,citations,0
1,gnome,gnoje,zeroe_typo,0,typo,jogger,0
2,directed,ditreecd,zeroe_noise,0,typo,directed,0
3,prediction,prtection,anthro_typo,0,typo,protection,0
4,quotations,cotations,zeroe_typo,0,typo,quotations,0
5,slightly,slighlty,zeroe_typo,0,typo,slightly,0
6,jenny,jeny,zeroe_noise,0,typo,jenny,0
7,processing,prossesing,zeroe_typo,0,typo,processing,0
8,lindsay,l9ndsat,zeroe_typo,0,typo,landsat,0
9,thoroughly,thouroghly,anthro_typo,0,typo,thoroughly,0
10,understood,undrstnd,anthro_typo,0,typo,understand,0
11,arctic,Arctis,zeroe_typo,0,typo,Arctic's,0
12,bill,bikl,zeroe_typo,0,typo,bikini,0
13,loans,loand,zeroe_typo,0,typo,loaned,0
14,heel,hddl,zeroe_typo,0,typo,huddle,0
15,economy,Econimy,zeroe_typo,0,typo,Economy,0
16,maintaining,mantain,zeroe_typo,0,typo,maintain,0
17,joshua,josyua,zeroe_typo,0,typo,Joshua,0
18,threatening,threatining,anthro_typo,0,typo,threatening,0
19,freeware,freeWhere,anthro_typo,0,typo,freeware,0
0,taste,taiste,anthro_typo,0,typo,taste,1
1,decide,deicide,anthro_typo,0,typo,decide,1
2,flow,flo,zeroe_noise,0,typo,"olf"" (assuming the perturbation was a typo and the intended word was ""olf,"" which is not an English word)",1
3,streams,strems,zeroe_noise,0,typo,stems,1
4,crest,ftest,zeroe_typo,0,typo,test,1
5,balance,b!a{lance,zeroe_noise,0,typo,balance,1
6,whiskey,whisky,zeroe_noise,0,typo,whiskey,1
7,scenic,svenic,zeroe_typo,0,typo,census,1
8,brain,nrain,zeroe_typo,0,typo,brain,1
9,blues,blueIs,anthro_typo,0,typo,blues,1
10,mexico,Messico,anthro_typo,0,typo,Mexico,1
11,sulfide,sldifue,zeroe_noise,0,typo,diffuse,1
12,staffing,stabiing,anthro_typo,0,typo,stabbing,1
13,laugh,l?augh,zeroe_noise,0,typo,laugh,1
14,stops,stopes,zeroe_typo,0,typo,estops,1
15,platinum,[lxtinhm,zeroe_typo,0,typo,"mixing"" (assuming the perturbation was a typo and the intended word was ""mixing,"" which is an English word)",1
16,guard,guard,anthro_typo,0,typo,drug,1
17,antiques,an)t^i+qu$es,zeroe_noise,0,typo,antiques,1
18,televisions,televisios,zeroe_noise,0,typo,televisions,1
19,persecuted,pertucseed,zeroe_noise,0,typo,structured,1
0,podcast,podast,zeroe_noise,0,typo,podcast,2
1,nepal,ne[al,zeroe_typo,0,typo,neural,2
2,driven,drievn,zeroe_noise,0,typo,driven,2
3,servicemen,scemveiern,zeroe_noise,0,typo,screenwriter,2
4,reproduce,reprouce,zeroe_noise,0,typo,reproduce,2
5,cancelled,fancwl.ed,zeroe_typo,0,typo,cancelled,2
6,hearing,Hearung,anthro_typo,0,typo,hearing,2
7,dealing,deuling,anthro_typo,0,typo,dueling,2
8,depending,defendimg,anthro_typo,0,typo,defending,2
9,felt,feldt,anthro_typo,0,typo,felt,2
10,penalties,penalitys,anthro_typo,0,typo,penalties,2
11,referral,referrel,anthro_typo,0,typo,referral,2
12,deutsche,deutsce,zeroe_noise,0,typo,deutsche,2
13,threshold,thresold,anthro_typo,0,typo,threshold,2
14,silk,silk,anthro_typo,0,typo,sick,2
15,loan,Lowen,anthro_typo,0,typo,Lowe's,2
16,guide,guite,anthro_typo,0,typo,quite,2
17,duke,d8ke,zeroe_typo,0,typo,duke,2
18,treated,ttraeed,zeroe_noise,0,typo,treated,2
19,would,worldd,anthro_typo,0,typo,world,2
0,abroad,abroud,anthro_typo,0,typo,abroad,3
1,exterior,extsripr,zeroe_typo,0,typo,scripture,3
2,secret,sercet,zeroe_noise,0,typo,secret,3
3,parks,parcs,zeroe_typo,0,typo,scrap,3
4,sand,snd,zeroe_noise,0,typo,send,3
5,cornell,cornwlp,zeroe_typo,0,typo,cornwall,3
6,organisation,rganisation,zeroe_noise,0,typo,organization,3
7,nearby,nervi,anthro_typo,0,typo,nerve,3
8,porter,ptreor,zeroe_noise,0,typo,report,3
9,beverage,befrage,anthro_typo,0,typo,befringe,3
10,defence,defecne,zeroe_noise,0,typo,defence,3
11,mixture,mixtire,zeroe_typo,0,typo,mixture,3
12,oracle,"orac,e",zeroe_typo,0,typo,oracle,3
13,reliance,relaince,anthro_typo,0,typo,reliance,3
14,logitech,pogitech,zeroe_typo,0,typo,logitech,3
15,jewellery,jowellery,zeroe_typo,0,typo,jewellery,3
16,meetup,meetup,anthro_typo,0,typo,meetup,3
17,spring,Sping,zeroe_typo,0,typo,spring,3
18,oldest,oldtext,anthro_typo,0,typo,textbook,3
19,café,cfaé,zeroe_noise,0,typo,café,3
0,climbing,climing,zeroe_typo,0,typo,climbing,4
1,seasons,segons,anthro_typo,0,typo,seasons,4
2,church,chuch,zeroe_typo,0,typo,church,4
3,sanford,sanrord,zeroe_typo,0,typo,Stanford,4
4,menu,manu,zeroe_typo,0,typo,maneu,4
5,supplemental,supplimental,anthro_typo,0,typo,supplemental,4
6,cincinnati,x9ncinnati,zeroe_typo,0,typo,Cincinnati,4
7,loaded,loaed,zeroe_noise,0,typo,loaded,4
8,associate,aocsitase,zeroe_noise,0,typo,associate,4
9,chamber,chamfer,anthro_typo,0,typo,chafer,4
10,aurora,aurora,anthro_typo,0,typo,Auroria,4
11,garcia,gatcia,zeroe_typo,0,typo,Garcia,4
12,lifestyle,lifestyle,anthro_typo,0,typo,life-style,4
13,artwork,arteork,zeroe_typo,0,typo,artwork,4
14,opening,openg,zeroe_typo,0,typo,opening,4
15,adequate,adaquate,anthro_typo,0,typo,adequate,4
16,scheduled,scheaduled,zeroe_typo,0,typo,scheduled,4
17,roommate,rommate,zeroe_typo,0,typo,roommate,4
18,murray,Murrey,anthro_typo,0,typo,Murray,4
19,latinas,katibas,zeroe_typo,0,typo,katabas,4
0,subscriber,subscrib@e&r,zeroe_noise,0,typo,subscriber,5
1,bikes,bkeis,zeroe_noise,0,typo,bikes,5
2,delivery,DelEvery,anthro_typo,0,typo,Delivery,5
3,mutually,mltuauly,zeroe_noise,0,typo,mutually,5
4,publication,patiocubiln,zeroe_noise,0,typo,publication,5
5,boots,_boo:ts,zeroe_noise,0,typo,boots,5
6,capable,capabale,anthro_typo,0,typo,capable,5
7,perfume,perbene,anthro_typo,0,typo,prebend,5
8,weapon,wpaeon,zeroe_noise,0,typo,weapon,5
9,burns,nurns,zeroe_typo,0,typo,turns,5
10,dealers,dellURSS,anthro_typo,0,typo,USSR,5
11,achievement,acheivement,anthro_typo,0,typo,achievement,5
12,evaluated,etuelvaad,zeroe_noise,0,typo,evaluate,5
13,discourage,Discrace,anthro_typo,0,typo,disgrace,5
14,adams,Adonis,anthro_typo,0,typo,admission,5
15,croats,croatz,zeroe_typo,0,typo,actors,5
16,minority,mino?r@i{ty,zeroe_noise,0,typo,minority,5
17,atomic,a5omif,zeroe_typo,0,typo,amigo,5
18,year,uear,zeroe_typo,0,typo,urea,5
19,repository,rpository,zeroe_noise,0,typo,repository,5
0,corporations,corpotations,zeroe_typo,0,typo,corporations,6
1,clinic,cnliic,zeroe_noise,0,typo,clinic,6
2,located,laetocd,zeroe_noise,0,typo,located,6
3,databases,"databa,se$s",zeroe_noise,0,typo,database(s),6
4,python,Pyton,anthro_typo,0,typo,Python,6
5,others,>o;t(her.s,zeroe_noise,0,typo,other(s),6
6,scan,svan,zeroe_typo,0,typo,van,6
7,aims,Ains,anthro_typo,0,typo,ains,6
8,enemies,`enemi;es,zeroe_noise,0,typo,enemies,6
9,taxi,axi,zeroe_noise,0,typo,axis,6
10,setup,steup,zeroe_noise,0,typo,setup,6
11,input,nput,zeroe_noise,0,typo,input,6
12,desert,desset,zeroe_typo,0,typo,dessert,6
13,deserve,desereve,anthro_typo,0,typo,deserve,6
14,scholarship,scolarship,zeroe_typo,0,typo,scholarship,6
15,make,Maxe,anthro_typo,0,typo,Max,6
16,self,slf,zeroe_noise,0,typo,self,6
17,throughout,thrughtout,zeroe_typo,0,typo,throughout,6
18,apparatus,apartThis,anthro_typo,0,typo,apart this,6
19,hungarian,hungaria,zeroe_noise,0,typo,Hungary,6
0,shannon,Shannan,anthro_typo,0,typo,Shannon,7
1,know,KNIW,anthro_typo,0,typo,know,7
2,hidden,hdden,zeroe_noise,0,typo,hidden,7
3,global,globa,zeroe_noise,0,typo,global,7
4,hazard,haward,anthro_typo,0,typo,Howard,7
5,homes,omes,zeroe_noise,0,typo,some,7
6,favor,faovr,zeroe_noise,0,typo,favor,7
7,attending,atteding,zeroe_typo,0,typo,attending,7
8,plane,Plame,anthro_typo,0,typo,Flame,7
9,delaware,Delawer,zeroe_typo,0,typo,Delaware,7
10,sexuality,sexuali-t|y,zeroe_noise,0,typo,sexuality,7
11,unique,uqunie,zeroe_noise,0,typo,unique,7
12,wednesday,wendesday,zeroe_typo,0,typo,Wednesday,7
13,directive,d9revyive,zeroe_typo,0,typo,derivative,7
14,mate,mte,zeroe_noise,0,typo,met,7
15,males,Malus,anthro_typo,0,typo,Mallus,7
16,trustees,trusts,zeroe_noise,0,typo,trustees,7
17,approach,a=p<proach,zeroe_noise,0,typo,approach,7
18,purpose,propouse,zeroe_typo,0,typo,propose,7
19,boots,noots,zeroe_typo,1,typo,notes,7
0,joshua,joschka,anthro_typo,1,typo,Joschka,8
1,processing,progessing,anthro_typo,1,typo,progressing,8
