model,size,test,ratio,Bootstrap,Category,Class,Support,Support %,Prediction,Prediction %,Mean Score,Med Score,∆ Score,Precision,Recall,F1-Score,Accuracy,AUC,Confusion
llama2,13B,clean,0.0,0,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,0,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,0,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,0,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,0,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,0,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,1,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,1,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,1,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,1,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,1,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,1,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,2,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,2,hateful,No,2277,0.8045936395759717,2531,0.8943462897526502,0.3131095406360424,0.2,,0.84,0.93,0.89,0.8,0.7,"[[2128  403]
 [ 149  150]]"
llama2,13B,clean,0.0,2,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,2,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,2,toxic,Yes,507,0.17915194346289753,502,0.1773851590106007,0.41918727915194354,0.4,,0.61,0.61,0.61,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,2,toxic,No,2323,0.8208480565371025,2328,0.8226148409893993,0.41918727915194354,0.4,,0.91,0.92,0.92,0.86,0.86,"[[2128  200]
 [ 195  307]]"
llama2,13B,clean,0.0,3,hateful,Yes,553,0.19540636042402826,299,0.10565371024734982,0.3131095406360424,0.2,,0.5,0.27,0.35,0.8,0.7,"[[2128  403]
 [ 149  150]]"
