,idx,clean,perturbed,predicted,batch
0,0,games,↋ames,games,0
1,1,embeddings,emḩedd⍸ngs,hedge funds,0
2,2,decreasing,dēcr♇asƖng,decisions,0
3,3,dynamic,ῄynamic,dynamic,0
4,4,traditional,tradiƫional,traditional,0
0,5,introduce,īntɽoḓuce,introduce,1
1,6,highlighted,hiğhlígʜťɝď,highlight,1
2,7,framework,⥜ramework,framework,1
3,8,vehicles,vehiclеs,vehicles,1
4,9,mathematical,mathe໗atiᥴal,mathematical,1
0,10,paper,pǝper,paper,2
1,11,rigorously,rigoᶯously,rigorously,2
2,12,solves,solvʙs,solves,2
3,13,used,usɛd,used,2
4,14,measure,ᴟeasure,treasure,2
0,15,deep,Ꮚeep,keep,3
1,16,interdisciplinary,intԑrḋisciplinary,interdisciplinary,3
2,17,continuous,coຖtiᥒuous,contiguous,3
3,18,singularities,s⭭nεularitⅰes,sciences,3
4,19,amount,amounȽ,amount,3
0,20,whether,Ĳhether,Whether,4
1,21,target,ŧargϴt,Target,4
2,22,algorithm,algorḷ⤈hຫ,Algorithm,4
3,23,charged,charg€d,Charged,4
4,24,expensive,exɒenຣive,Exotic,4
0,25,siamese,siaղeѕe,science,5
1,26,analysis,analyѯis,analysis,5
2,27,expression,eΧpressioⱨ,expression,5
3,28,layer,låyer,layer,5
4,29,normalized,normმlized,normalized,5
0,30,fang,ʄang,finger,6
1,31,exploit,e✘p℔oiₜ,elephant,6
2,32,metrics,ωeṭrḻcs,writers,6
3,33,spaces,⫓paces,spaces,6
4,34,develop,dеvelop,develop,6
0,35,generalized,generalizεd,generalized,7
1,36,strength,stnength,strength,7
2,37,energy,eⁿergy,energy,7
3,38,deconstruction,deconstructỈםn,deconstructed,7
4,39,businesses,busiṙesຣes,businesses,7
0,40,rendering,reƞdering,reading,8
1,41,neural,neuɍal,normal,8
2,42,addition,adɖiťiøn,addition,8
3,43,offers,ofẜers,offers,8
4,44,achieves,achievés,achievements,8
0,45,perform,ԛerform,perform,9
1,46,transistors,trӓnsistors,transistors,9
2,47,consistently,cОƞsiste໗tlч,consist,9
3,48,limit,ᷝìₘĩt,hit,9
4,49,performance,performan⊂e,performance,9
0,50,temperatures,temperaⵌures,temperatures,10
1,51,performance,᪇erformance,performance,10
2,52,construct,c▢n⅔truct,construct,10
3,53,required,rĕquĩȓeđ,require,10
4,54,captures,çåptuȓes,captures,10
0,55,exhibits,exhiЪits,exhibits,11
1,56,solely,so⏌elႷ,soul,11
2,57,within,wi⍖hin,within,11
