,idx,clean,perturbed,predicted,batch
0,0,games,gaes,ages,0
1,1,embeddings,ebnmdidges,bends,0
2,2,decreasing,drneicesag,dances,0
3,3,dynamic,diaynmc,diamond,0
4,4,traditional,%tr$adit<ional,traditional,0
0,5,introduce,Indroduce,Introduce,1
1,6,highlighted,jighligntes,Lightning,1
2,7,framework,frremowak,Wake,1
3,8,vehicles,~vehicles,Vehicles,1
4,9,mathematical,maacitehatml,Machine,1
0,10,paper,ppaer,paper,2
1,11,rigorously,rigoro)usly,rigorously,2
2,12,solves,soves,saves,2
3,13,used,\u#sed,used,2
4,14,measure,mesure,measure,2
0,15,deep,dep,department,3
1,16,interdisciplinary,{i|nte+rdis#c'iplinary,disciplinary,3
2,17,continuous,cuotoinnus,concussion,3
3,18,singularities,sigtnailuiers,signaller,3
4,19,amount,&amount,amount,3
0,20,whether,wethher,weather,4
1,21,target,trgeat,treat,4
2,22,algorithm,algrithm,algorithm,4
3,23,charged,c>ha{rged,charged,4
4,24,expensive,expen?si\ve,experience,4
0,25,siamese,simese,image,5
1,26,analysis,aasilnys,asylum,5
2,27,expression,eirxpseosn,exposure,5
3,28,layer,layef,leaf,5
4,29,normalized,nrmalized,normalized,5
0,30,fang,fnag,fog,6
1,31,exploit,explolt,explosion,6
2,32,metrics,meitrcs,measurements,6
3,33,spaces,spacs,spaces,6
4,34,develop,dev^elop,develop,6
0,35,generalized,gierzanleed,legged,7
1,36,strength,sertgnth,thirst,7
2,37,energy,energie,energy,7
3,38,deconstruction,dcouestrtoincn,construct,7
4,39,businesses,busiesses,businesses,7
0,40,rendering,rndnereig,random,8
1,41,neural,neurxl,nexus,8
2,42,addition,adction,action,8
3,43,offers,ofrfes,forces,8
4,44,achieves,aveceihs,avails,8
0,45,perform,perf`orm,perform,9
1,46,transistors,tnirssrtaos,instructors,9
2,47,consistently,:c(onsis^ten<tly,consciousness,9
3,48,limit,limite,limit,9
4,49,performance,pcrfomrenae,formation,9
0,50,temperatures,temereprtuas,temperature,10
1,51,performance,p:erforman#ce,performance,10
2,52,construct,ctnucsrot,computer,10
3,53,required,Requered,required,10
4,54,captures,dapturew,adaptation,10
0,55,exhibits,exhibi\ts,exhibit,11
1,56,solely,soelly,soil,11
2,57,within,wihtin,within,11
3,58,damaged,damange,damage,11
4,59,bare,;bare,bare,11
0,60,variety,va]riety,variety,12
1,61,estimation,esomiiattn,someone,12
2,62,necessary,necessry,necessary,12
3,63,perfect,pe^rfe=ct,perfect,12
4,64,regular,reaglur,glorious,12
0,65,extended,extenxef,extension,13
1,66,considers,consders,consider,13
2,67,focuses,fuoecss,focess,13
3,68,geometries,geemotiers,geometries,13
4,69,constraints,contraints,constraints,13
0,70,employed,e)mpl_oye(d,employed,14
1,71,linguistic,liguistic,linguistic,14
2,72,strategies,srategies,strategies,14
3,73,distinct,Distict,distinct,14
4,74,conditional,fonditiinal,financial,14
0,75,generalization,geeralization,generalization,15
1,76,often,ofen,oven,15
2,77,path,ptah,path,15
3,78,induced,i{nd)uced,induced,15
4,79,present,psneret,psychiatrist,15
0,80,refer,refe,refuge,16
1,81,intermediate,itetneamdire,determine,16
2,82,positivity,po?si&tiv;ity,positivity,16
3,83,mass,mss,miss,16
4,84,conductivity,con^ducti$v#i<t(y,conductive,16
0,85,prescribed,prescripted,described,17
1,86,peak,eak,speak,17
2,87,model,odel,"odel"" (no change)",17
3,88,body,bdoy,boy,17
4,89,impacted,ipacted,impacted,17
0,90,achieved,avieched,chaired,18
1,91,specific,sipifcec,speech,18
2,92,simplicial,&s]implicial,implicial,18
3,93,derive,eerive,drive,18
4,94,complete,cmtopele,complement,18
0,95,problems,prolems,problems,19
1,96,forward,forword,forward,19
2,97,naturally,"(n(a,t%ura:lly",naturally,19
3,98,propose,proose,prose,19
4,99,pertains,[pert\ains,pertains,19
0,100,endeavors,endavers,avengers,20
1,101,mach,jach,jack,20
2,102,model,modle,model,20
3,103,observations,obaervations,observations,20
4,104,burst,bur)st,burst,20
0,105,tokens,tok}ens,token,21
1,106,benefiting,~benef?iti/n[g,benefit,21
2,107,large,lare,large,21
3,108,outperform,ourpe4form,form,21
4,109,approach,approuch,approach,21
0,110,raises,risaes,reasons,22
1,111,learning,learing,learning,22
2,112,insights,isgnhtis,sightseeing,22
3,113,large,lare,lair,22
4,114,takes,akes,cakes,22
0,115,inability,iliatinby,illuminate,23
1,116,used,u~sed,used,23
2,117,variants,vari{ants,variants,23
3,118,slightly,slightl,slight,23
4,119,learn,lrean,lean,23
0,120,findings,findinds,findings,24
1,121,trojan,tjroan,train,24
2,122,data,d=ata,data,24
3,123,infinity,/infi)nity,infinity,24
4,124,birational,birstiinal,brilliant,24
0,125,local,lcaol,cool,25
1,126,simply,simpy,simple,25
2,127,approach,approuch,approach,25
3,128,information,informtion,information,25
4,129,hardest,"hard,est",hardest,25
0,130,species,spcies,species,26
1,131,challenges,cagnellehs,changelings,26
2,132,used,uesd,used,26
3,133,recommendation,rcndmtemioaeon,inconceivable,26
4,134,deeper,deepe4,deep,26
0,135,might,mhgit,might,27
1,136,element,elment,element,27
2,137,trained,treined,trained,27
3,138,classification,claswification,classification,27
4,139,gravity,graity,gravity,27
0,140,distinctive,distincive,distinctive,28
1,141,satisfies,satizfles,satisfies,28
2,142,paper,pape,paper,28
3,143,relevance,rlncevaee,lance,28
4,144,agreement,agrement,agreement,28
0,145,modalities,mtolidieas,misty,29
1,146,practice,")p'r[act-ic""e",practice,29
2,147,condition,conditin,condition,29
3,148,particular,p`a:r?ticular,particular,29
4,149,prismatic,prismxtic,prismatic,29
0,150,service,sirvcee,service,30
1,151,stochastic,(s!t-ocha:s/t{ic,system,30
2,152,answer,answr,answer,30
3,153,framework,framwork,framework,30
4,154,lack,lck,lock,30
0,155,equivalence,equ(iv*ale]nce,equivalence,31
1,156,rise,ise,is,31
2,157,neural,neurl,neuron,31
3,158,inefficiency,8neffucienf6,ineffable,31
4,159,model,]model,model,31
0,160,users,uesrs,users,32
1,161,provide,provde,provide,32
2,162,experiments,enixmtepres,informative,32
3,163,functions,fnuintocs,funintensive,32
4,164,track,trck,track,32
0,165,towards,>towards,towards,33
1,166,main,mian,mean,33
2,167,expected,expecto,expect,33
3,168,complex,clmeopx,climate,33
4,169,joint,jont,joint,33
0,170,steps,spets,specs,34
1,171,computer,computr,computer,34
2,172,expressive,expresive,expressive,34
3,173,limiting,limting,limiting,34
4,174,nilpotent,ilpotent,impotent,34
0,175,results,result<s,results,35
1,176,next,netx,network,35
2,177,residual,!re=s<idu<a]l,reaches,35
3,178,semantic,smineatc,minutes,35
4,179,holistic,holisti,holistic,35
0,180,unusually,unusuly,unusual,36
1,181,controlling,cltlninroog,climbing,36
2,182,enabling,enbaling,balancing,36
3,183,assess,asesss,glasses,36
4,184,challenges,cglaenehls,glances,36
0,185,contributions,conributions,contributions,37
1,186,minimal,mmainil,mainland,37
2,187,theories,th3ories,theories,37
3,188,long,lng,long,37
4,189,tire,"""t#ire",tire,37
0,190,opening,openning,opening,38
1,191,rising,ising,sing,38
2,192,alone,ak0ne,face,38
