,clean,perturbed,source,group,class,predicted,batch
0,citations,citiations,anthro_typo,0,typo,citations,0
1,gnome,gnoje,zeroe_typo,0,typo,gone,0
2,directed,ditreecd,zeroe_noise,0,typo,directed,0
3,prediction,prtection,anthro_typo,0,typo,protection,0
4,quotations,cotations,zeroe_typo,0,typo,quotations,0
5,slightly,slighlty,zeroe_typo,0,typo,slightly,0
6,jenny,jeny,zeroe_noise,0,typo,jenny,0
7,processing,prossesing,zeroe_typo,0,typo,processing,0
8,lindsay,l9ndsat,zeroe_typo,0,typo,landsat,0
9,thoroughly,thouroghly,anthro_typo,0,typo,thoroughly,0
10,understood,undrstnd,anthro_typo,0,typo,understand,0
11,arctic,Arctis,zeroe_typo,0,typo,arctic,0
12,bill,bikl,zeroe_typo,0,typo,bikini,0
13,loans,loand,zeroe_typo,0,typo,loaned,0
14,heel,hddl,zeroe_typo,0,typo,huddle,0
15,economy,Econimy,zeroe_typo,0,typo,economy,0
16,maintaining,mantain,zeroe_typo,0,typo,maintain,0
17,joshua,josyua,zeroe_typo,0,typo,joshua,0
18,threatening,threatining,anthro_typo,0,typo,threatening,0
19,freeware,freeWhere,anthro_typo,0,typo,freeware,0
0,taste,taiste,anthro_typo,0,typo,taste,1
1,decide,deicide,anthro_typo,0,typo,decide,1
2,flow,flo,zeroe_noise,0,typo,flow,1
3,streams,strems,zeroe_noise,0,typo,streams,1
4,crest,ftest,zeroe_typo,0,typo,test,1
5,balance,b!a{lance,zeroe_noise,0,typo,balance,1
6,whiskey,whisky,zeroe_noise,0,typo,whiskey,1
7,scenic,svenic,zeroe_typo,0,typo,scenic,1
8,brain,nrain,zeroe_typo,0,typo,rain,1
9,blues,blueIs,anthro_typo,0,typo,blues,1
10,mexico,Messico,anthro_typo,0,typo,Mexico,1
11,sulfide,sldifue,zeroe_noise,0,typo,slide,1
12,staffing,stabiing,anthro_typo,0,typo,stabbing,1
13,laugh,l?augh,zeroe_noise,0,typo,laugh,1
14,stops,stopes,zeroe_typo,0,typo,topes,1
15,platinum,[lxtinhm,zeroe_typo,0,typo,lighten,1
16,guard,guard,anthro_typo,0,typo,guard,1
17,antiques,an)t^i+qu$es,zeroe_noise,0,typo,antiques,1
18,televisions,televisios,zeroe_noise,0,typo,televisions,1
19,persecuted,pertucseed,zeroe_noise,0,typo,persecuted,1
0,podcast,podast,zeroe_noise,0,typo,podcast,2
1,nepal,ne[al,zeroe_typo,0,typo,neural,2
2,driven,drievn,zeroe_noise,0,typo,driven,2
3,servicemen,scemveiern,zeroe_noise,0,typo,screenwriter,2
4,reproduce,reprouce,zeroe_noise,0,typo,reproduce,2
5,cancelled,fancwl.ed,zeroe_typo,0,typo,cancelled,2
6,hearing,Hearung,anthro_typo,0,typo,hearing,2
7,dealing,deuling,anthro_typo,0,typo,dueling,2
8,depending,defendimg,anthro_typo,0,typo,defending,2
9,felt,feldt,anthro_typo,0,typo,felt,2
10,penalties,penalitys,anthro_typo,0,typo,penalties,2
11,referral,referrel,anthro_typo,0,typo,referral,2
12,deutsche,deutsce,zeroe_noise,0,typo,deutsche,2
13,threshold,thresold,anthro_typo,0,typo,threshold,2
14,silk,silk,anthro_typo,0,typo,silk,2
15,loan,Lowen,anthro_typo,0,typo,lower,2
16,guide,guite,anthro_typo,0,typo,quite,2
17,duke,d8ke,zeroe_typo,0,typo,duke,2
18,treated,ttraeed,zeroe_noise,0,typo,treated,2
19,would,worldd,anthro_typo,0,typo,world,2
0,abroad,abroud,anthro_typo,0,typo,abroad,3
1,exterior,extsripr,zeroe_typo,0,typo,scripter,3
2,secret,sercet,zeroe_noise,0,typo,secret,3
3,parks,parcs,zeroe_typo,0,typo,scrap,3
4,sand,snd,zeroe_noise,0,typo,send,3
5,cornell,cornwlp,zeroe_typo,0,typo,cornwall,3
6,organisation,rganisation,zeroe_noise,0,typo,organisation,3
7,nearby,nervi,anthro_typo,0,typo,nervous,3
8,porter,ptreor,zeroe_noise,0,typo,report,3
9,beverage,befrage,anthro_typo,0,typo,befriend,3
10,defence,defecne,zeroe_noise,0,typo,defence,3
11,mixture,mixtire,zeroe_typo,0,typo,mixture,3
12,oracle,"orac,e",zeroe_typo,0,typo,oracle,3
13,reliance,relaince,anthro_typo,0,typo,reliance,3
14,logitech,pogitech,zeroe_typo,0,typo,logitech,3
15,jewellery,jowellery,zeroe_typo,0,typo,jewellery,3
16,meetup,meetup,anthro_typo,0,typo,meetup,3
17,spring,Sping,zeroe_typo,0,typo,spring,3
18,oldest,oldtext,anthro_typo,0,typo,old text,3
19,café,cfaé,zeroe_noise,0,typo,café,3
0,climbing,climing,zeroe_typo,0,typo,climbing,4
1,seasons,segons,anthro_typo,0,typo,seconds,4
2,church,chuch,zeroe_typo,0,typo,church,4
3,sanford,sanrord,zeroe_typo,0,typo,standard,4
4,menu,manu,zeroe_typo,0,typo,menu,4
5,supplemental,supplimental,anthro_typo,0,typo,supplemental,4
6,cincinnati,x9ncinnati,zeroe_typo,0,typo,cincinnati,4
7,loaded,loaed,zeroe_noise,0,typo,loaded,4
8,associate,aocsitase,zeroe_noise,0,typo,associate,4
9,chamber,chamfer,anthro_typo,0,typo,chamber,4
10,aurora,aurora,anthro_typo,0,typo,aura,4
11,garcia,gatcia,zeroe_typo,0,typo,garcia,4
12,lifestyle,lifestyle,anthro_typo,0,typo,lifestyle,4
13,artwork,arteork,zeroe_typo,0,typo,artwork,4
14,opening,openg,zeroe_typo,0,typo,opening,4
15,adequate,adaquate,anthro_typo,0,typo,adequate,4
16,scheduled,scheaduled,zeroe_typo,0,typo,scheduled,4
17,roommate,rommate,zeroe_typo,0,typo,roommate,4
18,murray,Murrey,anthro_typo,0,typo,murray,4
19,latinas,katibas,zeroe_typo,0,typo,kabitas,4
0,subscriber,subscrib@e&r,zeroe_noise,0,typo,subscribe,5
1,bikes,bkeis,zeroe_noise,0,typo,bikes,5
2,delivery,DelEvery,anthro_typo,0,typo,Delivery,5
3,mutually,mltuauly,zeroe_noise,0,typo,usually,5
4,publication,patiocubiln,zeroe_noise,0,typo,publication,5
5,boots,_boo:ts,zeroe_noise,0,typo,boots,5
6,capable,capabale,anthro_typo,0,typo,capable,5
