model,size,test,ratio,Category,Class,Support,Support %,Prediction,Prediction %,Mean Score,Med Score,∆ Score,Precision,Recall,F1-Score,Accuracy,AUC,Confusion
llama2,13B,clean,0.0,hateful,Yes,553,0.19540636042402826,0,0.0,0.3131095406360424,0.2,,0.0,0.0,0.0,0.8,0.7,"[[2277  553]
 [   0    0]]"
llama2,13B,clean,0.0,hateful,No,2277,0.8045936395759717,2830,1.0,0.3131095406360424,0.2,,0.8,1.0,0.89,0.8,0.7,"[[2277  553]
 [   0    0]]"
llama2,13B,clean,0.0,offensive,Yes,878,0.3102473498233215,375,0.13250883392226148,0.33738515901060073,0.4,,0.79,0.34,0.47,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,offensive,No,1952,0.6897526501766784,2455,0.8674911660777385,0.33738515901060073,0.4,,0.76,0.96,0.85,0.77,0.73,"[[1874  581]
 [  78  297]]"
llama2,13B,clean,0.0,toxic,Yes,507,0.17915194346289753,434,0.15335689045936396,0.41918727915194354,0.4,,0.63,0.54,0.58,0.86,0.86,"[[2162  234]
 [ 161  273]]"
llama2,13B,clean,0.0,toxic,No,2323,0.8208480565371025,2396,0.846643109540636,0.41918727915194354,0.4,,0.9,0.93,0.92,0.86,0.86,"[[2162  234]
 [ 161  273]]"
llama2,13B,phonetic,0.125,hateful,Yes,553,0.19540636042402826,0,0.0,0.3321201413427562,0.2,0.07031802120141342,0.0,0.0,0.0,0.8,0.7,"[[2277  553]
 [   0    0]]"
llama2,13B,phonetic,0.125,hateful,No,2277,0.8045936395759717,2830,1.0,0.3321201413427562,0.2,0.07031802120141342,0.8,1.0,0.89,0.8,0.7,"[[2277  553]
 [   0    0]]"
llama2,13B,phonetic,0.125,offensive,Yes,878,0.3102473498233215,337,0.11908127208480565,0.3392579505300353,0.4,0.05480565371024735,0.8,0.31,0.45,0.76,0.7,"[[1886  607]
 [  66  271]]"
llama2,13B,phonetic,0.125,offensive,No,1952,0.6897526501766784,2493,0.8809187279151943,0.3392579505300353,0.4,0.05480565371024735,0.76,0.97,0.85,0.76,0.7,"[[1886  607]
 [  66  271]]"
llama2,13B,phonetic,0.125,toxic,Yes,507,0.17915194346289753,493,0.17420494699646644,0.4490812720848057,0.4,0.08685512367491166,0.57,0.55,0.56,0.84,0.83,"[[2110  227]
 [ 213  280]]"
llama2,13B,phonetic,0.125,toxic,No,2323,0.8208480565371025,2337,0.8257950530035336,0.4490812720848057,0.4,0.08685512367491166,0.9,0.91,0.91,0.84,0.83,"[[2110  227]
 [ 213  280]]"
llama2,13B,phonetic,0.25,hateful,Yes,553,0.19540636042402826,0,0.0,0.3505300353356891,0.2,0.08731448763250882,0.0,0.0,0.0,0.8,0.71,"[[2277  553]
 [   0    0]]"
llama2,13B,phonetic,0.25,hateful,No,2277,0.8045936395759717,2830,1.0,0.3505300353356891,0.2,0.08731448763250882,0.8,1.0,0.89,0.8,0.71,"[[2277  553]
 [   0    0]]"
llama2,13B,phonetic,0.25,offensive,Yes,878,0.3102473498233215,348,0.12296819787985866,0.3426148409893993,0.4,0.06607773851590105,0.81,0.32,0.46,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,offensive,No,1952,0.6897526501766784,2482,0.8770318021201413,0.3426148409893993,0.4,0.06607773851590105,0.76,0.97,0.85,0.77,0.71,"[[1885  597]
 [  67  281]]"
llama2,13B,phonetic,0.25,toxic,Yes,507,0.17915194346289753,564,0.19929328621908127,0.47660777385159014,0.4,0.11826855123674913,0.49,0.54,0.52,0.82,0.8,"[[2035  231]
 [ 288  276]]"
llama2,13B,phonetic,0.25,toxic,No,2323,0.8208480565371025,2266,0.8007067137809187,0.47660777385159014,0.4,0.11826855123674913,0.9,0.88,0.89,0.82,0.8,"[[2035  231]
 [ 288  276]]"
llama2,13B,phonetic,0.5,hateful,Yes,553,0.19540636042402826,0,0.0,0.3814487632508834,0.2,0.11809187279151943,0.0,0.0,0.0,0.8,0.71,"[[2277  553]
 [   0    0]]"
llama2,13B,phonetic,0.5,hateful,No,2277,0.8045936395759717,2830,1.0,0.3814487632508834,0.2,0.11809187279151943,0.8,1.0,0.89,0.8,0.71,"[[2277  553]
 [   0    0]]"
llama2,13B,phonetic,0.5,offensive,Yes,878,0.3102473498233215,321,0.11342756183745584,0.34113074204946997,0.4,0.07851590106007067,0.75,0.28,0.4,0.75,0.67,"[[1873  636]
 [  79  242]]"
