,clean,perturbed,legibility_score,legible,predicted,batch
0,appeals,appéa1s,0.920814,,apples,0
1,attachment,attachment,5.044752,True,attachment,0
2,assistance,aᶊsistaᴺcê,1.2429631,,assistant,0
3,jenny,jeⁿⁿy,0.7895414,,jelly,0
4,commons,cơmmoⁿs,1.6307205,,comms,0
0,stack,staℂk,1.3766938,,stalk,1
1,medical,meȧicaї,2.897969,,machine,1
2,sailing,şaᶖḷᶖnġ,4.313528,True,shelter,1
3,portsmouth,portsmОuȶh,4.331984,False,portsmouth,1
4,larger,iārger,1.7903979,,larger,1
0,chamber,chaϖbeѓ,0.43424624,,chapel,2
1,mutually,ᥞ⋃tuallᖙ,-0.4975824,,utmost,2
2,impact,lmpázt,-0.28043097,,impact,2
3,clay,ɕlǎy,1.7976358,False,scale,2
4,brain,brain,4.885752,True,brian,2
0,tablet,táblet,3.8569274,,table,3
1,discrimination,dişͨrࠨminatioñ,2.2742434,,dictionary,3
2,lynn,lyon,0.8666385,,Lyon (city in France),3
3,gossip,gossìç,-1.6920134,,gossip,3
4,represent,repŕesenʢ,1.9159281,,repression,3
0,turkish,tuŗkișh,4.071686,,truck,4
1,circumstances,ĉìrçumstances,3.7149565,,circumstances,4
2,basically,bзsiċalĺϤ,1.3108594,,busy,4
3,deeply,dǝeply,1.7118083,,reply,4
4,sort,ឨʘӶ֏,-3.097832,True,computer,4
0,michigan,michìgan,3.583693,,Michigan,5
1,township,townsἡip,1.1818802,True,township,5
2,uzbekistan,Մzbeқistàn,1.2819682,False,Lebanon,5
3,event,eVent,4.348892,True,event,5
4,aids,àìđŝ,1.9301623,,India,5
0,religions,reliĝiߐns,2.7052512,,legitimacy,6
1,observation,ȫbßeɍvatiơⁿ,-0.47780922,,oblivion,6
2,financing,∮inaຖcïnǧ,1.0618263,True,innovation,6
3,vacancies,Ҍácancĺes,0.07919264,,cancellation,6
4,strongly,sƤrɛԻgǏy,0.40001568,,surprise,6
0,anxiety,սnxiөͳy,-1.6041114,,sunny,7
1,sullivan,ṥுlli㏞ǡᶇ,-1.9127625,,silly,7
2,dash,dэзh,-0.32730764,,desk,7
3,outlook,outloǒk,2.8572693,,lookout,7
4,drama,dǹǒǌǎ,-2.486994,,donkey,7
0,diesel,dîesɘǐ,-0.27016395,,decisive,8
1,circuits,сirсuitѕ,5.0229683,True,circuit,8
2,peripherals,õeriqheraɫs,0.5155661,,heralds,8
3,relative,reỊative,2.9929543,True,relative,8
4,broke,brokɘ,1.9501742,,break,8
0,increasingly,increosingïy,1.8706219,,increase,9
1,caring,caǹiѓ¤,-1.4205409,,canyon,9
2,lamb,lѳmћ,-1.8350594,False,light,9
3,buying,ʙuȳĩnǧ,-0.41297975,,building,9
4,risqué,riʂΟué,1.4054106,,river,9
