clean,perturbed,legible,legibility_score
distributed,ԁisʈriþuʈeԁ,True,2.744486
distributed,dᒨstṙᒨḃuߙɛⅾ,False,0.9916545
specified,sᴅeດiƚieή,False,-2.8824577
specified,spёcifie⍺,False,0.95224804
exec,e⨲e⊂,True,-0.92135537
exec,⋸x⋸c,True,3.7063043
possess,໐oͽͽẽss,False,-2.6377378
possess,poકsȇકs,False,-2.515448
suits,ឧվits,False,-1.1610376
suits,suitе,True,1.792942
montana,mṉntana,False,3.2224417
montana,⫙ontӓna,True,1.5889298
metro,nèᵼᶰo,False,-2.3442464
metro,ҧeιƿѳ,False,-2.8341627
parker,ρarkeԻ,False,4.8622513
parker,ҏạrker,True,4.8626633
chemicals,cհeɱicaⅼȿ,True,3.516438
chemicals,chʚmicaỊs,False,2.0480976
scientific,ჽԸỈвըṱỈfỈc,True,-1.779312
scientific,śӧiᏼŉ⌊ifᶅӧ,False,-2.5354247
denied,dênied,True,3.636922
denied,öeἣłḗö,False,-3.3292508
poly,poï໘,False,-1.6799011
poly,poly,True,4.4580975
ship,₃ӈip,True,-2.1504865
ship,sⱮ˨ฎ,False,-2.9934728
saturn,Ѕѳŧuᛚ∩,False,-1.4028951
saturn,saturn,True,4.8704743
graphic,ℇṟaϸԦḹᴏ,False,-1.9940486
graphic,ǧrapհiϲ,True,4.0873404
alex,alex,False,4.885104
alex,alex,True,4.885104
values,valᥙeՏ,False,2.5617888
values,values,True,4.9552445
laptops,ʅaptops,False,1.7831718
laptops,laptops,True,4.820515
savings,savíիξɛ,True,-0.6556987
savings,ಽaʌiẖᢄಽ,False,-2.7963512
microwave,ᥥİɕᣗ႐ᵚӓ☋e,False,-2.652989
microwave,mi⌑ᶮoụɞƳe,False,-1.626549
inputs,ïȵpuţṥ,True,3.4677134
inputs,⍊ᵐᱞшtៜ,False,-2.0279465
declaration,ḋeclaration,False,4.5294585
declaration,declaration,True,4.777266
frog,ᶂrog,True,2.7658825
frog,ߊnὀg,False,-0.8874939
jury,jury,True,4.5977917
jury,⸘uᶰᶌ,False,-2.369436
lane,lane,True,5.035068
lane,lane,True,5.035068
wright,ɯԻīǵhț,False,2.4858453
wright,wright,True,4.806228
loading,༏Ⅾa♃inᶒ,False,-1.9402058
loading,།Ꭰædinĝ,False,-1.3600299
mitchell,mӀ⨨cҧe⏚⏚,False,-1.6624423
mitchell,Шi᱾ʙhell,False,-1.3059678
unified,ṷnḭʃḭē₫,False,0.22455038
unified,ɯnᵢẛᵢɵⱊ,False,-2.3647797
conspiracy,conspiracy,True,4.837507
conspiracy,c໐ηspìɼācy,False,3.5506523
moderate,moрeᖘѐᶂe,False,-1.8840705
moderate,⺵ob⋼rat⋼,False,-2.1507716
combining,combining,True,4.6414294
combining,ეoთΌiᒋⅰᒋg,False,-1.6188151
shortly,sխᴑrfⅠy,True,0.30434173
shortly,sᚺᴼᣴߟḹឫ,False,-2.389931
needs,nɛedṡ,True,2.9348147
needs,hẻeḓs,False,1.2894528
childrens,childrens,True,5.0171204
childrens,⌑ᒕiỊdreῃз,False,-1.8195963
eligibility,ęⅼịƐịbịⅼitⴘ,True,0.80205417
eligibility,ѳƚïgïbiƚiţy,False,-0.117088385
background,bæçǨშ⚑ρႷកd,False,-2.0618134
background,backḡround,True,4.644358
